ID,NAME
1,Analýza dokumentů
2,Analýza kontextuální
3,Analýza obsahová
4,Analýza sekundární
5,Analýza sociálních sítí
6,Anekdotalismus
7,Anketa
8,Anonymita
9,Arch záznamový
10,Archiv
11,Archiv dat
12,Case study
13,Data
14,Data měkká a tvrdá
15,Data primární
16,Definice operacionální
17,Definice situace
18,Deskripce
19,Diferenciál sémantický
20,Dichotomie
21,Dokumentace obrazová
22,Dotazník psychologický
23,Dotazník zvukový
24,Dotazování
25,Dotazování počítačové
26,Efekt bumerangový
27,Efekt radiace
28,Efekt tazatele
29,Efekt výzkumný
30,Empirie
31,Etalon
32,Experiment
33,Experiment metodologický
34,Expert
35,Expertíza
36,Fáze výzkumná
37,Film sociologický
38,Focus-groups
39,Fotografie sociologická
40,Garfinkeling
41,Generalizace
42,Harmonogram výzkumný
43,Instruktáž tazatelů
44,Interpretace
45,Interview
46,Interview ohniskové
47,Interview skupinové
48,Interview standardizované
49,Introspekce
50,Jednotka měření
51,Kasuistika
52,Klíč kódový
53,Kodér
54,Kódování
55,Komparabilita
56,Komparace
57,Komputerizace
58,Kritika pramenů
59,Měření
60,Metoda analytická
61,Metoda autobiografická
62,Metoda binárních kontrastů
63,Metoda biografická
64,Metoda explorační
65,Metoda genealogická
66,Metoda genetická
67,Metoda historická
68,Metoda srovnávací
69,Metoda statistická
70,Metodologie sociologická
71,Metody expertní
72,Metody sociometrické
73,Nástroj výzkumný
74,Objekt výzkumný
75,Operacionalizace
76,Otázka filtrační
77,Otázka otevřená
78,Otázka polootevřená
79,Otázka projektivní
80,Otázka uzavřená
81,Pilotáž
82,Počítač
83,Počítač osobní
84,Populace zajatá
85,Pozorování přímé
86,Prameny historické
87,Preference
88,Procedura experimentální
89,Procedura komparativní
90,Procedura monografická
91,Procedura statistická
92,Procedura typologická
93,Procedura výzkumná
94,Program výzkumný
95,Projekt výzkumný
96,Proměnná endogenní
97,Proměnná kontextuální
98,Předmět výzkumu
99,Předvýzkum
100,Příprava dat
101,Reliabilita
102,Respondent
103,Rozpočet časový
104,Schéma výkladové
105,Síť tazatelská
106,Snímek časový
107,Sociogram
108,Sociometrie
109,Standardizace
110,Status sociometrický
111,Strategie výzkumná
112,Šetření dotazníkové
113,Šetření omnibusové
114,Šetření panelové
115,Škálování
116,Tazatel
117,Techniky expresivní
118,Techniky projektivní
119,Techniky sběru informací
120,Terén výzkumný
121,Testy projektivní
122,Testy inteligence
123,Testy osobnosti
124,Testy psychologické
125,Testy schopností
126,Testy znalostí
127,Typologie
128,Validita
129,Validizace
130,Výzkum aplikovaný
131,Výzkum diagnostický
132,Výzkum empirický
133,Výzkum hodnot
134,Výzkum chronologický
135,Výzkum komparativní
136,Výzkum konkrétní sociologický
137,Výzkum kontrolní
138,Výzkum longitudinální
139,Výzkum orientační
140,Výzkum retrospektivní
141,Výzkum terénní
142,Výzkum verifikační
143,Zákon Brillouinův
144,Záznam dat
145,Znak
146,Zpráva výzkumná
