
1,Adamec Čeněk
2,Alan Josef
3,Árnason Johann Pál
4,Auerhan Jan
5,Beneš Edvard
6,Bláha Inocenc Arnošt
7,Blažek Bohuslav
8,Boháč Antonín
9,Bolzano Bernard
10,Brokl Lubomír
11,Butter Oskar
12,Čapek Emil
13,Čapek Karel
14,Čecháček Jaroslav
15,Čep Tomáš
16,Dědek František
17,Disman Miroslav
18,Dubská Irena
19,Durdík Josef
20,Dušek Jan
21,Fajfr František
22,Filipcová Blanka
23,Filipec Jindřich
24,Fischer Josef Ludvík
25,Foret Miroslav
26,Fořt Josef
27,Foustka Břetislav
28,Frič Pavol
29,Fuchs Alfred
30,Gabal Ivan
31,Gaďourek Ivan
32,Gál Fedor
33,Galla Karel
34,Geist Bohumil
35,Gellner Ernest (Arnošt)
36,Hájek František
37,Hájek Mojmír
38,Hampl Martin
39,Hanáček Jaroslav
40,Havelka Miloš
41,Hirner Alexander
42,Hník František Maria
43,Hrdina Josef
44,Hudec Josef
45,Huláková Marie
46,Chalupný Emanuel
47,Charvát František
48,Illner Michal
49,Jeřábek Hynek
50,Jodl Miroslav
51,Jochmann Vladimír
52,Jungmann Bohumil
53,Kabele Jiří
54,Kadlec Vladimír
55,Kadlecová Erika
56,Kaizl Josef
57,Kaláb Miloš
58,Kalandra Záviš
59,Kalinová Lenka
60,Kapr Jaroslav
61,Kárníková Ludmila
62,Keller Jan
63,Kettner Josef
64,Klácel František Matouš
65,Klofáč Jaroslav
66,Kohn Jindřich
67,Kohout Jaroslav
68,Kolaja Jiří Tomáš
69,Korčák Jaromír
70,Kozák Jan Blahoslav
71,Köttner Mojmír
72,Král Josef
73,Krejčí František
74,Krejčí Jaroslav
75,Krejčí Karel
76,Kučera Milan
77,Kunte Ladislav
78,Lamser Václav
79,Librová Hana
80,Lindner Gustav Adolf
81,Linhart Jiří
82,Macek Josef
83,Macků Jan
84,Machonin Pavel
85,Machotka Otakar
86,Maiwald Karel
87,Makovička Emanuel
88,Malý Rudolf Ina
89,Mareš Petr
90,Marušiak Martin
91,Masaryk Tomáš Garrigue
92,Masaryková Alice
93,Matějů Petr
94,Mertl Jan
95,Mlčoch Lubomír
96,Modráček František
97,Možný Ivo
98,Musil Jiří
99,Nehněvajsa Jiří
100,Nejedlý Zdeněk
101,Neuschl Robert
102,Nový Lubomír
103,Obrdlík Antonín
104,Obrdlíková Juliana
105,Ovesný Miroslav
106,Pavlík Zdeněk
107,Peroutka Ferdinand
108,Petrusek Miloslav
109,Pistorius Theodor
110,Porket Josef Ludvík
111,Potůček Martin
112,Potužil František
113,Procházka Matěj
114,Rabušic Ladislav
115,Rádl Emanuel
116,Reif Gustav
117,Reich Edvard
118,Reyl František
119,Richta Radovan
120,Rouček Joseph Slabey
121,Rychtaříková Jitka
122,Rýznar Václav
123,Řehák Jan
124,Sedláček Jan
125,Sedláček Oto
126,Sekot Aleš
127,Schoenbaum Emil
128,Sirovátka Tomáš
129,Slaminka Vladimír
130,Slejška Dragoslav
131,Smetana Augustin
132,Solař Josef
133,Soldát Alois
134,Sorokin Pitirim Alexandrovič
135,Srb Vladimír
136,Stark Werner
137,Strmiska Zdeněk
138,Střítecký Jaroslav
139,Suda Zdeněk
140,Sviták Ivan
141,Svoboda Ludvík
142,Šapoval Mykyta
143,Šiklová Jiřina
144,Šíma Jaroslav
145,Škrach Vasil Kaprálek
146,Šmejkal Karel
147,Šnobl Jaroslav
148,Šrámek Jan
149,Šrubař Ilja
150,Štefánek Anton
151,Štern Evžen
152,Tauber Jan Bohumil
153,Teige Karel
154,Teltšík Rudolf
155,Tlustý Vojtěch
156,Tomeš Igor
157,Trapl Miloslav
158,Tyrš Miroslav
159,Uhlíř Antonín
160,Ullrich Zdeněk
161,Urbánek Eduard
162,Vacek Lubomír
163,Václavek Bedřich
164,Vaněk Antonín
165,Vašek Bedřich
166,Večerník Jiří
167,Verunáč Václav
168,Voráček Josef
169,Vybral Vladimír
170,Weber Alfred
171,Weyr František
172,Von Wieser Friedrich
173,Winter Lev
174,Ziegler Heinz Otto
175,Zich František
176,Zwicker Bruno
177,Žalud Augustin
178,Žmavc Ivan
