ID,SizcNID,InstituceNID,SizcN,InstituceN
1,1,12,Česká akademie věd a umění,Masarykova akademie práce
2,1,68,Česká akademie věd a umění,Společnost pro sociální bádání
3,2,3,Grantová agentura České republiky,"Rada pro výzkum, vývoj a inovace"
4,3,2,"Rada pro výzkum, vývoj a inovace",Grantová agentura České republiky
5,4,16,Vědecké kolegium filosofie a sociologie ČSAV,Sociologický ústav ČSAV
6,4,64,Vědecké kolegium filosofie a sociologie ČSAV,Československá sociologická společnost při ČSAV
7,7,24,Československý ústav pro výzkum veřejného mínění,Ústav pro výzkum veřejného mínění ČSAV
8,8,12,Československý ústav práce,Masarykova akademie práce
9,8,20,Československý ústav práce,Sociální ústav ČSR
10,8,30,Československý ústav práce,Výzkumný ústav sociálního rozvoje a práce
11,9,31,Dům techniky ČSVTS Pardubice,Výzkumný ústav strojírenské technologie a ekonomiky
12,9,59,Dům techniky ČSVTS Pardubice,Vysoká škola strojní a elektrotechnická v Plzni
13,12,6,Masarykova akademie práce,Československý ústav zahraniční
14,12,8,Masarykova akademie práce,Československý ústav práce
15,16,4,Sociologický ústav ČSAV,Vědecké kolegium filosofie a sociologie ČSAV
16,16,9,Sociologický ústav ČSAV,Dům techniky ČSVTS Pardubice
17,16,10,Sociologický ústav ČSAV,Etnologický ústav AV ČR
18,16,15,Sociologický ústav ČSAV,Sociologický ústav AV ČR
19,16,22,Sociologický ústav ČSAV,Ústav pro filosofii a sociologii ČSAV
20,16,26,Sociologický ústav ČSAV,Ústav sociálně politických věd UK
21,16,64,Sociologický ústav ČSAV,Československá sociologická společnost při ČSAV
22,17,23,Sociologický ústav ČSS,Ústav pro sociální a hospodářskou výchovu ČSS
23,17,65,Sociologický ústav ČSS,Masarykova sociologická společnost
24,19,6,Státní úřad statistický,Československý ústav zahraniční
25,20,8,Sociální ústav ČSR,Československý ústav práce
26,20,30,Sociální ústav ČSR,Výzkumný ústav sociálního rozvoje a práce
27,20,65,Sociální ústav ČSR,Masarykova sociologická společnost
28,22,4,Ústav pro filosofii a sociologii ČSAV,Vědecké kolegium filosofie a sociologie ČSAV
29,22,15,Ústav pro filosofii a sociologii ČSAV,Sociologický ústav AV ČR
30,22,16,Ústav pro filosofii a sociologii ČSAV,Sociologický ústav ČSAV
31,23,65,Ústav pro sociální a hospodářskou výchovu ČSS,Masarykova sociologická společnost
32,24,4,Ústav pro výzkum veřejného mínění ČSAV,Vědecké kolegium filosofie a sociologie ČSAV
33,24,7,Ústav pro výzkum veřejného mínění ČSAV,Československý ústav pro výzkum veřejného mínění
34,24,25,Ústav pro výzkum veřejného mínění ČSAV,Ústav pro výzkum veřejného mínění FSÚ
35,25,15,Ústav pro výzkum veřejného mínění FSÚ,Sociologický ústav AV ČR
36,25,19,Ústav pro výzkum veřejného mínění FSÚ,Státní úřad statistický
37,25,24,Ústav pro výzkum veřejného mínění FSÚ,Ústav pro výzkum veřejného mínění ČSAV
38,25,27,Ústav pro výzkum veřejného mínění FSÚ,Ústav vědeckého ateismu ČSAV
39,26,39,Ústav sociálně politických věd UK,Karlova univerzita v Praze
40,27,4,Ústav vědeckého ateismu ČSAV,Vědecké kolegium filosofie a sociologie ČSAV
41,27,25,Ústav vědeckého ateismu ČSAV,Ústav pro výzkum veřejného mínění FSÚ
42,29,30,Výzkumný ústav práce a sociálních věcí,Výzkumný ústav sociálního rozvoje a práce
43,30,8,Výzkumný ústav sociálního rozvoje a práce,Československý ústav práce
44,30,29,Výzkumný ústav sociálního rozvoje a práce,Výzkumný ústav práce a sociálních věcí
45,33,37,Biskupské semináře,Husova československá evangelická teologická fakulta v Praze
46,33,39,Biskupské semináře,Karlova univerzita v Praze
47,33,45,Biskupské semináře,Palackého univerzita v Olomouci
48,62,64,Česká demografická společnost,Československá sociologická společnost při ČSAV
49,62,68,Česká demografická společnost,Společnost pro sociální bádání
50,63,17,Česká sociologická společnost,Sociologický ústav ČSS
51,63,61,Česká sociologická společnost,Česká asociace pro sociální antropologii
52,63,64,Česká sociologická společnost,Československá sociologická společnost při ČSAV
53,64,61,Československá sociologická společnost při ČSAV,Česká asociace pro sociální antropologii
54,64,62,Československá sociologická společnost při ČSAV,Česká demografická společnost
