ID,VelkySgSNID,CasopisyNID,VelkySgSN,CasopisyN
1,38,43,Analýza,Analýza (časopis)
2,322,38,Demografie,Statistika
3,322,44,Demografie,Demografie (časopis)
4,1562,26,Parlament,Sociální problémy
5,1562,45,Parlament,Parlament (časopis)
6,2254,36,Sociologie zemědělství,Sociologie a historie zemědělství
7,2555,46,Teorie vědy,Teorie vědy (časopis)
9,2128,3,Sociologie česká v l. 1948–1994,Biograf
11,323,10,Demografie historická,Historická demografie
13,1728,26,Pražský lingvistický kroužek,Sociální problémy
15,2127,26,Sociologie česká do r. 1948,Sociální problémy
17,2127,32,Sociologie česká do r. 1948,Sociologická revue
19,2128,33,Sociologie česká v l. 1948–1994,Sociologické aktuality
21,2128,34,Sociologie česká v l. 1948–1994,Sociologický časopis / Czech Sociological Review
23,2219,34,Sociologie slovenská,Sociologický časopis / Czech Sociological Review
25,2869,34,Ženy v sociologii,Sociologický časopis / Czech Sociological Review
27,541,35,Etika vědy,Sociologický obzor
29,2128,35,Sociologie česká v l. 1948–1994,Sociologický obzor
31,2175,35,Sociologie marxisticko-leninská,Sociologický obzor
33,2219,35,Sociologie slovenská,Sociologický obzor
35,2128,40,Sociologie česká v l. 1948–1994,Studia sociologica
