ID,VelkySgSNID,MalySgSNID,VelkySgSN,MalySgSN
1,7,1,Adaptace,Adaptace (MSgS)
2,19,2,Agrese,Agrese (MSgS)
3,30,3,Alkoholismus,Alkoholismus (MSgS)
4,46,102,Analýza dokumentů,Dokumenty osobní (MSgS)
5,49,36,Analýza faktorová,Analýza faktorová (MSgS)
6,53,63,Analýza kauzální,Analýza kauzální (MSgS)
7,63,97,Analýza obsahová,Analýza obsahová (MSgS)
8,91,4,Anketa,Anketa (MSgS)
9,94,5,Antagonismus,Antagonismus (MSgS)
10,104,6,Antropologie,Antropologie (MSgS)
11,147,7,Armáda,Armáda (MSgS)
12,152,9,Aspirace,Aspirace (MSgS)
13,165,10,Automatizace,Automatizace (MSgS)
14,169,11,Autorita,Autorita (MSgS)
15,187,12,Behaviorismus,Behaviorismus (MSgS)
16,205,207,Blahobyt,Úroveň životní (MSgS)
17,222,13,Buržoazie,Buržoazie (MSgS)
18,228,14,Byrokracie,Byrokracie (MSgS)
19,245,16,Církev,Církve (MSgS)
20,260,196,Cyklus životní,Skupiny sociální věkové (MSgS)
21,266,197,Čas volný,Čas volný (MSgS)
22,270,17,Činnost,"Činnost, společenská činnost (MSgS)"
23,290,18,Dav,Dav (MSgS)
24,298,100,Definice operacionální,Definice operativní v sociologii (MSgS)
25,313,22,Dělba práce,Dělba práce (MSgS)
26,322,19,Demografie,Demografie (MSgS)
27,327,20,Demokracie,Demokracie (MSgS)
28,353,21,Determinismus ekonomický,Determinismus společenský (MSgS)
29,377,24,Diferenciace sociální,Diferenciace a integrace (MSgS)
30,384,25,Diktatura,Diktatura (MSgS)
31,396,26,Distance sociální,Distance (MSgS)
32,459,28,Ekologie,Ekologie (MSgS)
33,544,31,Etnikum,Skupiny etnické (MSgS)
34,547,32,Etnografie,Etnografie (MSgS)
35,552,33,Etnologie,Etnologie (MSgS)
36,586,34,Experiment,Experiment (MSgS)
37,586,35,Experiment,Metoda experimentální (MSgS)
38,626,38,Filozofie dějin,Filosofie dějin (MSgS)
39,644,39,Formace společenskoekonomická,Formace společenskoekonomická (MSgS)
40,651,42,Frustrace,Frustrace (MSgS)
41,659,43,Funkcionalismus strukturální,Funkcionalismus (MSgS)
42,687,45,Geopolitika,Geopolitika (MSgS)
43,688,46,Gerontologie,Gerontologie (MSgS)
44,753,49,Hodnota,Hodnoty (MSgS)
45,785,185,Human relations,Teorie a metody human relations (MSgS)
46,833,142,Chování sexuální,Chování sexuální (MSgS)
47,838,50,Chuligánství,Chuligánství (MSgS)
48,844,51,Ideologie,Ideologie (MSgS)
49,854,52,Imperialismus,Imperialismus (MSgS)
50,875,54,Informace,Informace a komunikace (MSgS)
51,887,55,Instinkt,Instinkt (MSgS)
52,889,56,Instituce,Instituce (MSgS)
53,897,57,Inteligence,Inteligence (MSgS)
54,900,58,Interakce sociální,Interakce (MSgS)
55,910,112,Interpretace,Popis a interpretace (MSgS)
56,914,59,Interview,Interview (MSgS)
57,926,165,Inženýrství sociální,Sociotechnika (MSgS)
58,938,60,Jazyk,Jazyk a řeč (MSgS)
59,971,61,Kapitalismus,Kapitalismus (MSgS)
60,976,62,Kasta,Kasta (MSgS)
61,1050,80,Komunikace masová,Komunikace masová (MSgS)
62,1053,64,Komunismus,Komunismus (MSgS)
63,1085,146,Konsensus,Konsensus sociální (MSgS)
64,1096,66,Kontrola sociální,Kontrola sociální (MSgS)
65,1096,136,Kontrola sociální,Regulace sociálních činností (MSgS)
66,1099,67,Konvence společenská,Konvence společenská (MSgS)
67,1146,68,Kultura,Kultura (MSgS)
68,1182,73,Lid,Lid (MSgS)
69,1210,75,Makrosociologie a mikrosociologie,Makrosociologie a mikrosociologie (MSgS)
70,1214,191,Management,Vedení a řízení (MSgS)
71,1217,77,Manažer,Manažerismus (MSgS)
72,1221,78,Manželství,Manželství (MSgS)
73,1229,79,Masa,Masa (MSgS)
