ID,ID1,ID2,NAME1,NAME2
1,2,14,Athenaeum,Naše doba
2,5,7,Česká mysl,Filosofický časopis
3,5,16,Česká mysl,Nová mysl
4,7,16,Filosofický časopis,Nová mysl
5,18,42,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
6,19,30,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),Sociální studia
7,26,32,Sociální problémy,Sociologická revue
8,26,45,Sociální problémy,Parlament (časopis)
9,27,8,Sociální revue,Fórum sociální politiky
10,32,27,Sociologická revue,Sociální revue
11,32,45,Sociologická revue,Parlament (časopis)
12,34,3,Sociologický časopis / Czech Sociological Review,Biograf
13,34,35,Sociologický časopis / Czech Sociological Review,Sociologický obzor
14,37,38,Statistický obzor,Statistika
15,37,44,Statistický obzor,Demografie (časopis)
16,38,44,Statistika,Demografie (časopis)
