id,id1,id2,name1,name2,atr
1,10,10,Historická demografie,Etnologický ústav AV ČR,1969-1989
2,10,39,Historická demografie,Karlova univerzita v Praze,1969-1989
3,18,26,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,Ústav sociálně politických věd UK,1969-1989
4,19,41,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),Masarykova univerzita v Brně,1969-1989
5,31,45,Sociologica,Palackého univerzita v Olomouci,1969-1989
6,34,4,Sociologický časopis / Czech Sociological Review,Vědecké kolegium filosofie a sociologie ČSAV,1969-1989
7,34,22,Sociologický časopis / Czech Sociological Review,Ústav pro filosofii a sociologii ČSAV,1969-1989
8,36,11,Sociologie a historie zemědělství,Institut sociologie venkova a historie zemědělství VÚZEI,1969-1989
9,40,39,Studia sociologica,Karlova univerzita v Praze,1969-1989
10,43,9,Analýza (časopis),Dům techniky ČSVTS Pardubice,1969-1989
11,33,22,Sociologické aktuality,Ústav pro filosofii a sociologii ČSAV,1969-1989
12,36,35,Sociologie a historie zemědělství,Česká zemědělská univerzita v Praze,1969-1989
