ID,CasopisyID1,VelkySgSID2,Casopisy,VelkySgS
1,3,2128,Biograf,Sociologie česká v l. 1948–1994
2,10,323,Historická demografie,Demografie historická
3,26,1728,Sociální problémy,Pražský lingvistický kroužek
4,26,2127,Sociální problémy,Sociologie česká do r. 1948
5,32,2127,Sociologická revue,Sociologie česká do r. 1948
6,33,2128,Sociologické aktuality,Sociologie česká v l. 1948–1994
7,34,2128,Sociologický časopis / Czech Sociological Review,Sociologie česká v l. 1948–1994
8,34,2219,Sociologický časopis / Czech Sociological Review,Sociologie slovenská
9,34,2869,Sociologický časopis / Czech Sociological Review,Ženy v sociologii
10,35,541,Sociologický obzor,Etika vědy
11,35,2128,Sociologický obzor,Sociologie česká v l. 1948–1994
12,35,2175,Sociologický obzor,Sociologie marxisticko-leninská
13,35,2219,Sociologický obzor,Sociologie slovenská
14,40,2128,Studia sociologica,Sociologie česká v l. 1948–1994
15,43,38,Analýza (časopis),Analýza
16,44,322,Demografie (časopis),Demografie
17,45,1562,Parlament (časopis),Parlament
18,46,2555,Teorie vědy (časopis),Teorie vědy
19,38,322,Statistika,Demografie
20,26,1562,Sociální problémy,Parlament
21,36,2254,Sociologie a historie zemědělství,Sociologie zemědělství
