id,id1,id2,name1,name2
1,1,90,Adaptace (MSgS),Morálka (MSgS)
2,2,5,Agrese (MSgS),Antagonismus (MSgS)
3,2,42,Agrese (MSgS),Frustrace (MSgS)
4,2,134,Agrese (MSgS),Rasa a rasové vztahy (MSgS)
5,3,17,Alkoholismus (MSgS),"Činnost, společenská činnost (MSgS)"
6,3,147,Alkoholismus (MSgS),Patologie sociální (MSgS)
7,4,27,Anketa (MSgS),Šetření dotazníkové (MSgS)
8,5,65,Antagonismus (MSgS),Konflikt a teorie konfliktu (MSgS)
9,6,31,Antropologie (MSgS),Skupiny etnické (MSgS)
10,6,32,Antropologie (MSgS),Etnografie (MSgS)
11,6,33,Antropologie (MSgS),Etnologie (MSgS)
12,6,43,Antropologie (MSgS),Funkcionalismus (MSgS)
13,6,134,Antropologie (MSgS),Rasa a rasové vztahy (MSgS)
14,6,145,Antropologie (MSgS),Socializace (MSgS)
15,6,148,Antropologie (MSgS),Psychologie sociální (MSgS)
16,6,150,Antropologie (MSgS),Sociografie (MSgS)
17,6,155,Antropologie (MSgS),Sociologie americká (MSgS)
18,6,159,Antropologie (MSgS),Sociologie německá (MSgS)
19,7,101,Armáda (MSgS),Organizace (MSgS)
20,8,39,Způsob výrobní asijský (MSgS),Formace společenskoekonomická (MSgS)
21,8,105,Způsob výrobní asijský (MSgS),Řád otrokářský (MSgS)
22,10,22,Automatizace (MSgS),Dělba práce (MSgS)
23,10,179,Automatizace (MSgS),Třídy střední (MSgS)
24,10,183,Automatizace (MSgS),Technika (MSgS)
25,11,110,Autorita (MSgS),Politika (MSgS)
26,12,17,Behaviorismus (MSgS),"Činnost, společenská činnost (MSgS)"
27,12,63,Behaviorismus (MSgS),Analýza kauzální (MSgS)
28,12,90,Behaviorismus (MSgS),Morálka (MSgS)
29,12,95,Behaviorismus (MSgS),Sociologie novopozitivistická (MSgS)
30,13,23,Buržoazie (MSgS),Třída dělnická (MSgS)
31,13,25,Buržoazie (MSgS),Diktatura (MSgS)
32,13,73,Buržoazie (MSgS),Lid (MSgS)
33,13,149,Buržoazie (MSgS),Revoluce sociální (MSgS)
34,13,179,Buržoazie (MSgS),Třídy střední (MSgS)
35,14,77,Byrokracie (MSgS),Manažerismus (MSgS)
36,14,100,Byrokracie (MSgS),Definice operativní v sociologii (MSgS)
37,14,101,Byrokracie (MSgS),Organizace (MSgS)
38,14,127,Byrokracie (MSgS),Podnik průmyslový (MSgS)
39,14,186,Byrokracie (MSgS),Třídy a třídní boj (MSgS)
40,16,101,Církve (MSgS),Organizace (MSgS)
41,17,56,"Činnost, společenská činnost (MSgS)",Instituce (MSgS)
42,17,58,"Činnost, společenská činnost (MSgS)",Interakce (MSgS)
43,17,167,"Činnost, společenská činnost (MSgS)","Společnost, společenská skutečnost (MSgS)"
44,17,193,"Činnost, společenská činnost (MSgS)",Mínění veřejné (MSgS)
45,17,194,"Činnost, společenská činnost (MSgS)",Věda (MSgS)
46,17,201,"Činnost, společenská činnost (MSgS)",Zaměstnanci (MSgS)
47,18,53,Dav (MSgS),Společnost industriální (MSgS)
48,18,79,Dav (MSgS),Masa (MSgS)
49,18,98,Dav (MSgS),Odcizení (MSgS)
50,18,148,Dav (MSgS),Psychologie sociální (MSgS)
51,19,28,Demografie (MSgS),Ekologie (MSgS)
52,19,95,Demografie (MSgS),Sociologie novopozitivistická (MSgS)
53,19,113,Demografie (MSgS),Populace (MSgS)
54,20,25,Demokracie (MSgS),Diktatura (MSgS)
55,21,38,Determinismus společenský (MSgS),Filosofie dějin (MSgS)
56,22,14,Dělba práce (MSgS),Byrokracie (MSgS)
57,22,24,Dělba práce (MSgS),Diferenciace a integrace (MSgS)
58,22,28,Dělba práce (MSgS),Ekologie (MSgS)
59,22,30,Dělba práce (MSgS),Ekonomika (MSgS)
60,22,51,Dělba práce (MSgS),Ideologie (MSgS)
61,22,57,Dělba práce (MSgS),Inteligence (MSgS)
62,22,64,Dělba práce (MSgS),Komunismus (MSgS)
63,22,110,Dělba práce (MSgS),Politika (MSgS)
64,22,116,Dělba práce (MSgS),Povolání (MSgS)
65,22,119,Dělba práce (MSgS),Práce (MSgS)
66,22,128,Dělba práce (MSgS),Společnost předtřídní (MSgS)
67,22,175,Dělba práce (MSgS),Stratifikace sociální (MSgS)
68,22,179,Dělba práce (MSgS),Třídy střední (MSgS)
69,22,201,Dělba práce (MSgS),Zaměstnanci (MSgS)
70,22,202,Dělba práce (MSgS),Zemědělství (MSgS)
71,23,51,Třída dělnická (MSgS),Ideologie (MSgS)
72,23,186,Třída dělnická (MSgS),Třídy a třídní boj (MSgS)
73,24,9,Diferenciace a integrace (MSgS),Aspirace (MSgS)
74,24,175,Diferenciace a integrace (MSgS),Stratifikace sociální (MSgS)
75,27,26,Šetření dotazníkové (MSgS),Distance (MSgS)
76,27,34,Šetření dotazníkové (MSgS),Experiment (MSgS)
77,27,59,Šetření dotazníkové (MSgS),Interview (MSgS)
78,27,82,Šetření dotazníkové (MSgS),"Metody, procedury a techniky (MSgS)"
79,27,174,Šetření dotazníkové (MSgS),Strategie sociologického výzkumu (MSgS)
80,28,6,Ekologie (MSgS),Antropologie (MSgS)
81,28,44,Ekologie (MSgS),Podmínky geografické (MSgS)
82,28,72,Ekologie (MSgS),Sociologie lékařská (MSgS)
83,28,89,Ekologie (MSgS),Procedura monografická (MSgS)
84,28,204,Ekologie (MSgS),Zoosociologie (MSgS)
85,30,126,Ekonomika (MSgS),Průmysl (MSgS)
86,30,127,Ekonomika (MSgS),Podnik průmyslový (MSgS)
87,30,149,Ekonomika (MSgS),Revoluce sociální (MSgS)
88,31,93,Skupiny etnické (MSgS),Národ (MSgS)
89,31,201,Skupiny etnické (MSgS),Zaměstnanci (MSgS)
90,32,31,Etnografie (MSgS),Skupiny etnické (MSgS)
91,32,33,Etnografie (MSgS),Etnologie (MSgS)
92,32,150,Etnografie (MSgS),Sociografie (MSgS)
93,32,159,Etnografie (MSgS),Sociologie německá (MSgS)
94,34,82,Experiment (MSgS),"Metody, procedury a techniky (MSgS)"
95,34,106,Experiment (MSgS),Panel (MSgS)
96,36,76,Analýza faktorová (MSgS),Skupina sociální malá (MSgS)
97,37,8,Feudalismus (MSgS),Způsob výrobní asijský (MSgS)
98,37,31,Feudalismus (MSgS),Skupiny etnické (MSgS)
99,37,39,Feudalismus (MSgS),Formace společenskoekonomická (MSgS)
100,37,61,Feudalismus (MSgS),Kapitalismus (MSgS)
101,37,105,Feudalismus (MSgS),Řád otrokářský (MSgS)
102,39,22,Formace společenskoekonomická (MSgS),Dělba práce (MSgS)
103,39,30,Formace společenskoekonomická (MSgS),Ekonomika (MSgS)
104,39,105,Formace společenskoekonomická (MSgS),Řád otrokářský (MSgS)
105,39,170,Formace společenskoekonomická (MSgS),Stát (MSgS)
106,39,178,Formace společenskoekonomická (MSgS),Struktura sociální (MSgS)
107,39,183,Formace společenskoekonomická (MSgS),Technika (MSgS)
108,41,120,Vztahy skupinové formální a neformální (MSgS),Skupina pracovní (MSgS)
109,41,135,Vztahy skupinové formální a neformální (MSgS),Skupina referenční (MSgS)
110,42,5,Frustrace (MSgS),Antagonismus (MSgS)
111,42,65,Frustrace (MSgS),Konflikt a teorie konfliktu (MSgS)
112,42,115,Frustrace (MSgS),Potřeby a zájmy (MSgS)
113,42,134,Frustrace (MSgS),Rasa a rasové vztahy (MSgS)
114,42,147,Frustrace (MSgS),Patologie sociální (MSgS)
115,43,32,Funkcionalismus (MSgS),Etnografie (MSgS)
116,43,33,Funkcionalismus (MSgS),Etnologie (MSgS)
117,43,53,Funkcionalismus (MSgS),Společnost industriální (MSgS)
118,43,65,Funkcionalismus (MSgS),Konflikt a teorie konfliktu (MSgS)
119,43,154,Funkcionalismus (MSgS),Sociologie (MSgS)
120,43,155,Funkcionalismus (MSgS),Sociologie americká (MSgS)
121,44,45,Podmínky geografické (MSgS),Geopolitika (MSgS)
122,47,82,Metoda historická (MSgS),"Metody, procedury a techniky (MSgS)"
123,48,38,Materialismus historický (MSgS),Filosofie dějin (MSgS)
124,48,154,Materialismus historický (MSgS),Sociologie (MSgS)
125,49,11,Hodnoty (MSgS),Autorita (MSgS)
126,49,17,Hodnoty (MSgS),"Činnost, společenská činnost (MSgS)"
127,49,22,Hodnoty (MSgS),Dělba práce (MSgS)
128,49,24,Hodnoty (MSgS),Diferenciace a integrace (MSgS)
129,49,50,Hodnoty (MSgS),Chuligánství (MSgS)
130,49,90,Hodnoty (MSgS),Morálka (MSgS)
131,49,119,Hodnoty (MSgS),Práce (MSgS)
132,49,121,Hodnoty (MSgS),Právo (MSgS)
133,49,126,Hodnoty (MSgS),Průmysl (MSgS)
134,49,135,Hodnoty (MSgS),Skupina referenční (MSgS)
135,49,193,Hodnoty (MSgS),Mínění veřejné (MSgS)
136,49,198,Hodnoty (MSgS),Výchova (MSgS)
137,51,30,Ideologie (MSgS),Ekonomika (MSgS)
138,51,189,Ideologie (MSgS),Utopie sociální (MSgS)
139,52,61,Imperialismus (MSgS),Kapitalismus (MSgS)
140,53,30,Společnost industriální (MSgS),Ekonomika (MSgS)
141,53,61,Společnost industriální (MSgS),Kapitalismus (MSgS)
142,53,78,Společnost industriální (MSgS),Manželství (MSgS)
143,53,81,Společnost industriální (MSgS),Společnost masová a kultura masová (MSgS)
144,53,126,Společnost industriální (MSgS),Průmysl (MSgS)
145,53,183,Společnost industriální (MSgS),Technika (MSgS)
146,53,188,Společnost industriální (MSgS),Urbanizace (MSgS)
147,53,197,Společnost industriální (MSgS),Čas volný (MSgS)
148,53,201,Společnost industriální (MSgS),Zaměstnanci (MSgS)
149,54,60,Informace a komunikace (MSgS),Jazyk a řeč (MSgS)
150,55,91,Instinkt (MSgS),Motivace (MSgS)
151,55,148,Instinkt (MSgS),Psychologie sociální (MSgS)
152,55,155,Instinkt (MSgS),Sociologie americká (MSgS)
153,56,24,Instituce (MSgS),Diferenciace a integrace (MSgS)
154,56,41,Instituce (MSgS),Vztahy skupinové formální a neformální (MSgS)
155,56,58,Instituce (MSgS),Interakce (MSgS)
156,56,95,Instituce (MSgS),Sociologie novopozitivistická (MSgS)
157,56,110,Instituce (MSgS),Politika (MSgS)
158,56,182,Instituce (MSgS),Školství (MSgS)
159,56,200,Instituce (MSgS),Základna a nadstavba (MSgS)
160,57,23,Inteligence (MSgS),Třída dělnická (MSgS)
161,57,73,Inteligence (MSgS),Lid (MSgS)
162,57,201,Inteligence (MSgS),Zaměstnanci (MSgS)
163,58,27,Interakce (MSgS),Šetření dotazníkové (MSgS)
164,58,41,Interakce (MSgS),Vztahy skupinové formální a neformální (MSgS)
165,58,59,Interakce (MSgS),Interview (MSgS)
166,58,65,Interakce (MSgS),Konflikt a teorie konfliktu (MSgS)
167,58,74,Interakce (MSgS),Skupiny lokální (MSgS)
168,58,79,Interakce (MSgS),Masa (MSgS)
169,58,83,Interakce (MSgS),Město (MSgS)
170,58,143,Interakce (MSgS),Skupiny společenské (MSgS)
171,58,148,Interakce (MSgS),Psychologie sociální (MSgS)
172,58,156,Interakce (MSgS),Sociologie britská (MSgS)
173,58,173,Interakce (MSgS),Stereotyp (MSgS)
174,59,34,Interview (MSgS),Experiment (MSgS)
175,59,82,Interview (MSgS),"Metody, procedury a techniky (MSgS)"
176,60,31,Jazyk a řeč (MSgS),Skupiny etnické (MSgS)
177,61,22,Kapitalismus (MSgS),Dělba práce (MSgS)
178,61,23,Kapitalismus (MSgS),Třída dělnická (MSgS)
179,61,31,Kapitalismus (MSgS),Skupiny etnické (MSgS)
180,61,39,Kapitalismus (MSgS),Formace společenskoekonomická (MSgS)
181,61,64,Kapitalismus (MSgS),Komunismus (MSgS)
182,61,191,Kapitalismus (MSgS),Vedení a řízení (MSgS)
183,62,18,Kasta (MSgS),Dav (MSgS)
184,64,16,Komunismus (MSgS),Církve (MSgS)
185,64,39,Komunismus (MSgS),Formace společenskoekonomická (MSgS)
186,64,144,Komunismus (MSgS),Společnost socialistická (MSgS)
187,64,170,Komunismus (MSgS),Stát (MSgS)
188,65,40,Konflikt a teorie konfliktu (MSgS),Škola formalistická (MSgS)
189,65,90,Konflikt a teorie konfliktu (MSgS),Morálka (MSgS)
190,65,110,Konflikt a teorie konfliktu (MSgS),Politika (MSgS)
191,65,148,Konflikt a teorie konfliktu (MSgS),Psychologie sociální (MSgS)
192,65,205,Konflikt a teorie konfliktu (MSgS),Žena a její postavení ve společnosti (MSgS)
193,66,17,Kontrola sociální (MSgS),"Činnost, společenská činnost (MSgS)"
194,66,41,Kontrola sociální (MSgS),Vztahy skupinové formální a neformální (MSgS)
195,66,81,Kontrola sociální (MSgS),Společnost masová a kultura masová (MSgS)
196,66,121,Kontrola sociální (MSgS),Právo (MSgS)
197,66,136,Kontrola sociální (MSgS),Regulace sociálních činností (MSgS)
198,66,172,Kontrola sociální (MSgS),Status a role (MSgS)
199,67,136,Konvence společenská (MSgS),Regulace sociálních činností (MSgS)
200,68,6,Kultura (MSgS),Antropologie (MSgS)
201,68,26,Kultura (MSgS),Distance (MSgS)
202,68,28,Kultura (MSgS),Ekologie (MSgS)
203,68,31,Kultura (MSgS),Skupiny etnické (MSgS)
204,68,32,Kultura (MSgS),Etnografie (MSgS)
205,68,33,Kultura (MSgS),Etnologie (MSgS)
206,68,43,Kultura (MSgS),Funkcionalismus (MSgS)
207,68,49,Kultura (MSgS),Hodnoty (MSgS)
208,68,56,Kultura (MSgS),Instituce (MSgS)
209,68,58,Kultura (MSgS),Interakce (MSgS)
210,68,81,Kultura (MSgS),Společnost masová a kultura masová (MSgS)
211,68,115,Kultura (MSgS),Potřeby a zájmy (MSgS)
212,68,145,Kultura (MSgS),Socializace (MSgS)
213,68,167,Kultura (MSgS),"Společnost, společenská skutečnost (MSgS)"
214,68,178,Kultura (MSgS),Struktura sociální (MSgS)
215,68,183,Kultura (MSgS),Technika (MSgS)
216,69,81,Revoluce kulturní (MSgS),Společnost masová a kultura masová (MSgS)
217,70,81,Kvantifikace (MSgS),Společnost masová a kultura masová (MSgS)
218,70,82,Kvantifikace (MSgS),"Metody, procedury a techniky (MSgS)"
219,70,181,Kvantifikace (MSgS),Škály a škálování (MSgS)
220,71,82,Kybernetika a sociologie (MSgS),"Metody, procedury a techniky (MSgS)"
221,71,145,Kybernetika a sociologie (MSgS),Socializace (MSgS)
222,71,183,Kybernetika a sociologie (MSgS),Technika (MSgS)
223,72,3,Sociologie lékařská (MSgS),Alkoholismus (MSgS)
224,73,20,Lid (MSgS),Demokracie (MSgS)
225,73,32,Lid (MSgS),Etnografie (MSgS)
226,73,79,Lid (MSgS),Masa (MSgS)
227,73,110,Lid (MSgS),Politika (MSgS)
228,75,76,Makrosociologie a mikrosociologie (MSgS),Skupina sociální malá (MSgS)
229,75,120,Makrosociologie a mikrosociologie (MSgS),Skupina pracovní (MSgS)
230,76,101,Skupina sociální malá (MSgS),Organizace (MSgS)
231,76,120,Skupina sociální malá (MSgS),Skupina pracovní (MSgS)
232,76,131,Skupina sociální malá (MSgS),Psychodrama a sociodrama (MSgS)
233,76,143,Skupina sociální malá (MSgS),Skupiny společenské (MSgS)
234,76,175,Skupina sociální malá (MSgS),Stratifikace sociální (MSgS)
235,76,191,Skupina sociální malá (MSgS),Vedení a řízení (MSgS)
236,76,193,Skupina sociální malá (MSgS),Mínění veřejné (MSgS)
237,77,13,Manažerismus (MSgS),Buržoazie (MSgS)
238,77,183,Manažerismus (MSgS),Technika (MSgS)
239,77,184,Manažerismus (MSgS),Technokratismus (MSgS)
240,77,185,Manažerismus (MSgS),Teorie a metody human relations (MSgS)
241,77,191,Manažerismus (MSgS),Vedení a řízení (MSgS)
242,78,90,Manželství (MSgS),Morálka (MSgS)
243,78,155,Manželství (MSgS),Sociologie americká (MSgS)
244,79,20,Masa (MSgS),Demokracie (MSgS)
245,79,26,Masa (MSgS),Distance (MSgS)
246,79,53,Masa (MSgS),Společnost industriální (MSgS)
247,79,81,Masa (MSgS),Společnost masová a kultura masová (MSgS)
248,79,124,Masa (MSgS),Propaganda (MSgS)
249,80,4,Komunikace masová (MSgS),Anketa (MSgS)
250,80,81,Komunikace masová (MSgS),Společnost masová a kultura masová (MSgS)
251,80,95,Komunikace masová (MSgS),Sociologie novopozitivistická (MSgS)
252,80,124,Komunikace masová (MSgS),Propaganda (MSgS)
253,80,126,Komunikace masová (MSgS),Průmysl (MSgS)
254,80,193,Komunikace masová (MSgS),Mínění veřejné (MSgS)
255,81,126,Společnost masová a kultura masová (MSgS),Průmysl (MSgS)
256,82,72,"Metody, procedury a techniky (MSgS)",Sociologie lékařská (MSgS)
257,83,90,Město (MSgS),Morálka (MSgS)
258,83,143,Město (MSgS),Skupiny společenské (MSgS)
