ID,MalySgSID,VelkySgSID,MalySgS,VelkySgS
1,1,7,Adaptace (MSgS),Adaptace
2,2,19,Agrese (MSgS),Agrese
3,3,30,Alkoholismus (MSgS),Alkoholismus
4,4,91,Anketa (MSgS),Anketa
5,5,94,Antagonismus (MSgS),Antagonismus
6,6,104,Antropologie (MSgS),Antropologie
7,7,147,Armáda (MSgS),Armáda
8,9,152,Aspirace (MSgS),Aspirace
9,10,165,Automatizace (MSgS),Automatizace
10,11,169,Autorita (MSgS),Autorita
11,12,187,Behaviorismus (MSgS),Behaviorismus
12,13,222,Buržoazie (MSgS),Buržoazie
13,14,228,Byrokracie (MSgS),Byrokracie
14,15,1960,Otázka cikánská (MSgS),Romové
15,16,245,Církve (MSgS),Církev
16,17,270,"Činnost, společenská činnost (MSgS)",Činnost
17,18,290,Dav (MSgS),Dav
18,19,322,Demografie (MSgS),Demografie
19,20,327,Demokracie (MSgS),Demokracie
20,21,353,Determinismus společenský (MSgS),Determinismus ekonomický
21,22,313,Dělba práce (MSgS),Dělba práce
22,23,2612,Třída dělnická (MSgS),Třída dělnická
23,24,377,Diferenciace a integrace (MSgS),Diferenciace sociální
24,25,384,Diktatura (MSgS),Diktatura
25,26,396,Distance (MSgS),Distance sociální
26,27,2445,Šetření dotazníkové (MSgS),Šetření dotazníkové
27,28,459,Ekologie (MSgS),Ekologie
28,31,544,Skupiny etnické (MSgS),Etnikum
29,32,547,Etnografie (MSgS),Etnografie
30,33,552,Etnologie (MSgS),Etnologie
31,34,586,Experiment (MSgS),Experiment
32,35,586,Metoda experimentální (MSgS),Experiment
33,36,49,Analýza faktorová (MSgS),Analýza faktorová
34,37,1610,Feudalismus (MSgS),Poddanství
35,38,626,Filosofie dějin (MSgS),Filozofie dějin
36,39,644,Formace společenskoekonomická (MSgS),Formace společenskoekonomická
37,40,2143,Škola formalistická (MSgS),Sociologie formální
38,41,2548,Vztahy skupinové formální a neformální (MSgS),Teorie sociálních sítí
39,42,651,Frustrace (MSgS),Frustrace
40,43,659,Funkcionalismus (MSgS),Funkcionalismus strukturální
41,44,1799,Podmínky geografické (MSgS),Prostředí geografické
42,45,687,Geopolitika (MSgS),Geopolitika
43,46,688,Gerontologie (MSgS),Gerontologie
44,47,1273,Metoda historická (MSgS),Metoda historická
45,48,1234,Materialismus historický (MSgS),Materialismus historický
46,49,753,Hodnoty (MSgS),Hodnota
47,50,838,Chuligánství (MSgS),Chuligánství
48,51,844,Ideologie (MSgS),Ideologie
49,52,854,Imperialismus (MSgS),Imperialismus
50,53,2289,Společnost industriální (MSgS),Společnost industriální
51,54,875,Informace a komunikace (MSgS),Informace
52,55,887,Instinkt (MSgS),Instinkt
53,56,889,Instituce (MSgS),Instituce
54,57,897,Inteligence (MSgS),Inteligence
55,58,900,Interakce (MSgS),Interakce sociální
56,59,914,Interview (MSgS),Interview
57,60,938,Jazyk a řeč (MSgS),Jazyk
58,61,971,Kapitalismus (MSgS),Kapitalismus
59,62,976,Kasta (MSgS),Kasta
60,63,53,Analýza kauzální (MSgS),Analýza kauzální
61,64,1053,Komunismus (MSgS),Komunismus
