ID,ID1,ID2,NAME1,NAME2
1,4,34,Vědecké kolegium filosofie a sociologie ČSAV,Sociologický časopis / Czech Sociological Review
2,7,41,Československý ústav pro výzkum veřejného mínění,Veřejné mínění
3,9,43,Dům techniky ČSVTS Pardubice,Analýza (časopis)
4,19,26,Státní úřad statistický,Sociální problémy
5,19,37,Státní úřad statistický,Statistický obzor
6,19,38,Státní úřad statistický,Statistika
7,19,44,Státní úřad statistický,Demografie (časopis)
8,20,27,Sociální ústav ČSR,Sociální revue
9,22,33,Ústav pro filosofii a sociologii ČSAV,Sociologické aktuality
10,22,34,Ústav pro filosofii a sociologii ČSAV,Sociologický časopis / Czech Sociological Review
11,26,18,Ústav sociálně politických věd UK,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
12,26,42,Ústav sociálně politických věd UK,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
13,29,8,Výzkumný ústav práce a sociálních věcí,Fórum sociální politiky
14,35,36,Česká zemědělská univerzita v Praze,Sociologie a historie zemědělství
15,63,33,Česká sociologická společnost,Sociologické aktuality
16,65,27,Masarykova sociologická společnost,Sociální revue
17,65,32,Masarykova sociologická společnost,Sociologická revue
18,67,12,Sociologický kruh posluchačů vysokých škol pražských,Kruh
19,71,14,Athenaeum,Naše doba
20,74,7,Česká mysl,Filosofický časopis
21,74,16,Česká mysl,Nová mysl
22,76,16,Filosofický časopis,Nová mysl
23,87,42,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
24,88,30,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),Sociální studia
25,95,32,Sociální problémy,Sociologická revue
26,95,45,Sociální problémy,Parlament (časopis)
27,96,8,Sociální revue,Fórum sociální politiky
28,101,27,Sociologická revue,Sociální revue
29,101,45,Sociologická revue,Parlament (časopis)
30,103,3,Sociologický časopis / Czech Sociological Review,Biograf
31,103,35,Sociologický časopis / Czech Sociological Review,Sociologický obzor
32,106,38,Statistický obzor,Statistika
33,106,44,Statistický obzor,Demografie (časopis)
34,107,44,Statistika,Demografie (časopis)
35,115,33,Sociologické nakladatelství (SLON),Sociologické aktuality
36,45,1,Palackého univerzita v Olomouci,Acta Universitatis Palackianae Olomucensis – Facultas Philosophica – Sociologica et Andragogica
37,124,2,Kategorie:Vědecká a odborná periodika,Athenaeum
38,15,6,Sociologický ústav AV ČR,Data a výzkum – SDA info
39,15,9,Sociologický ústav AV ČR,"Gender, rovné příležitosti, výzkum"
40,10,10,Etnologický ústav AV ČR,Historická demografie
41,15,10,Sociologický ústav AV ČR,Historická demografie
42,39,10,Karlova univerzita v Praze,Historická demografie
43,39,11,Karlova univerzita v Praze,Historická sociologie
44,39,13,Karlova univerzita v Praze,Lidé města
45,124,14,Kategorie:Vědecká a odborná periodika,Naše doba
46,15,15,Sociologický ústav AV ČR,Naše společnost
47,41,19,Masarykova univerzita v Brně,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
48,65,26,Masarykova sociologická společnost,Sociální problémy
49,68,26,Společnost pro sociální bádání,Sociální problémy
50,112,26,Knihovna Sociálních problémů,Sociální problémy
51,41,30,Masarykova univerzita v Brně,Sociální studia
52,45,31,Palackého univerzita v Olomouci,Sociologica
53,21,32,Ukrajinský sociologický ústav,Sociologická revue
54,39,32,Karlova univerzita v Praze,Sociologická revue
55,41,32,Masarykova univerzita v Brně,Sociologická revue
56,124,32,Kategorie:Vědecká a odborná periodika,Sociologická revue
57,15,34,Sociologický ústav AV ČR,Sociologický časopis / Czech Sociological Review
58,124,34,Kategorie:Vědecká a odborná periodika,Sociologický časopis / Czech Sociological Review
59,124,35,Kategorie:Vědecká a odborná periodika,Sociologický obzor
60,11,36,Institut sociologie venkova a historie zemědělství VÚZEI,Sociologie a historie zemědělství
61,39,40,Karlova univerzita v Praze,Studia sociologica
