ID,ID1,ID2,NAME1,NAME2
1,1,12,Česká akademie věd a umění,Masarykova akademie práce
2,1,68,Česká akademie věd a umění,Společnost pro sociální bádání
3,1,120,Česká akademie věd a umění,Kategorie:Orgány řízení vědy
4,1,121,Česká akademie věd a umění,Kategorie:Státní a veřejné výzkumné instituce
5,2,3,Grantová agentura České republiky,"Rada pro výzkum, vývoj a inovace"
6,2,120,Grantová agentura České republiky,Kategorie:Orgány řízení vědy
7,3,120,"Rada pro výzkum, vývoj a inovace",Kategorie:Orgány řízení vědy
8,4,16,Vědecké kolegium filosofie a sociologie ČSAV,Sociologický ústav ČSAV
9,4,64,Vědecké kolegium filosofie a sociologie ČSAV,Československá sociologická společnost při ČSAV
10,4,103,Vědecké kolegium filosofie a sociologie ČSAV,Sociologický časopis / Czech Sociological Review
11,4,120,Vědecké kolegium filosofie a sociologie ČSAV,Kategorie:Orgány řízení vědy
12,5,121,Československá akademie zemědělská,Kategorie:Státní a veřejné výzkumné instituce
13,6,121,Československý ústav zahraniční,Kategorie:Státní a veřejné výzkumné instituce
14,7,24,Československý ústav pro výzkum veřejného mínění,Ústav pro výzkum veřejného mínění ČSAV
15,7,110,Československý ústav pro výzkum veřejného mínění,Veřejné mínění
16,7,121,Československý ústav pro výzkum veřejného mínění,Kategorie:Státní a veřejné výzkumné instituce
17,8,12,Československý ústav práce,Masarykova akademie práce
18,8,20,Československý ústav práce,Sociální ústav ČSR
19,8,30,Československý ústav práce,Výzkumný ústav sociálního rozvoje a práce
20,8,121,Československý ústav práce,Kategorie:Státní a veřejné výzkumné instituce
21,9,31,Dům techniky ČSVTS Pardubice,Výzkumný ústav strojírenské technologie a ekonomiky
22,9,59,Dům techniky ČSVTS Pardubice,Vysoká škola strojní a elektrotechnická v Plzni
23,9,116,Dům techniky ČSVTS Pardubice,Analýza (časopis)
24,9,121,Dům techniky ČSVTS Pardubice,Kategorie:Státní a veřejné výzkumné instituce
25,9,125,Dům techniky ČSVTS Pardubice,Kategorie:Ostatní subjekty se vztahem k sociologii
26,11,121,Institut sociologie venkova a historie zemědělství VÚZEI,Kategorie:Státní a veřejné výzkumné instituce
27,12,6,Masarykova akademie práce,Československý ústav zahraniční
28,12,121,Masarykova akademie práce,Kategorie:Státní a veřejné výzkumné instituce
29,13,121,Slezský studijní ústav v Opavě,Kategorie:Státní a veřejné výzkumné instituce
30,14,121,Slezský ústav v Praze,Kategorie:Státní a veřejné výzkumné instituce
31,15,121,Sociologický ústav AV ČR,Kategorie:Státní a veřejné výzkumné instituce
32,16,9,Sociologický ústav ČSAV,Dům techniky ČSVTS Pardubice
33,16,10,Sociologický ústav ČSAV,Etnologický ústav AV ČR
34,16,15,Sociologický ústav ČSAV,Sociologický ústav AV ČR
35,16,22,Sociologický ústav ČSAV,Ústav pro filosofii a sociologii ČSAV
36,16,26,Sociologický ústav ČSAV,Ústav sociálně politických věd UK
37,16,64,Sociologický ústav ČSAV,Československá sociologická společnost při ČSAV
38,16,121,Sociologický ústav ČSAV,Kategorie:Státní a veřejné výzkumné instituce
39,17,23,Sociologický ústav ČSS,Ústav pro sociální a hospodářskou výchovu ČSS
40,17,65,Sociologický ústav ČSS,Masarykova sociologická společnost
41,17,121,Sociologický ústav ČSS,Kategorie:Státní a veřejné výzkumné instituce
42,18,121,Sportpropag,Kategorie:Státní a veřejné výzkumné instituce
43,19,6,Státní úřad statistický,Československý ústav zahraniční
44,19,95,Státní úřad statistický,Sociální problémy
45,19,106,Státní úřad statistický,Statistický obzor
46,19,107,Státní úřad statistický,Statistika
47,19,117,Státní úřad statistický,Demografie (časopis)
48,19,121,Státní úřad statistický,Kategorie:Státní a veřejné výzkumné instituce
49,19,125,Státní úřad statistický,Kategorie:Ostatní subjekty se vztahem k sociologii
50,20,30,Sociální ústav ČSR,Výzkumný ústav sociálního rozvoje a práce
51,20,65,Sociální ústav ČSR,Masarykova sociologická společnost
52,20,96,Sociální ústav ČSR,Sociální revue
53,20,121,Sociální ústav ČSR,Kategorie:Státní a veřejné výzkumné instituce
54,21,121,Ukrajinský sociologický ústav,Kategorie:Státní a veřejné výzkumné instituce
55,22,4,Ústav pro filosofii a sociologii ČSAV,Vědecké kolegium filosofie a sociologie ČSAV
