ID,SizcID,VelkySgSID,Sizc,VelkySgS
1,5,2127,Československá akademie zemědělská,Sociologie česká do r. 1948
2,7,2791,Československý ústav pro výzkum veřejného mínění,Výzkum veřejného mínění
3,9,2259,Dům techniky ČSVTS Pardubice,Socware
4,12,1216,Masarykova akademie práce,Management vědecký
5,15,1535,Sociologický ústav AV ČR,Otázka ženská
6,15,2128,Sociologický ústav AV ČR,Sociologie česká v l. 1948–1994
7,16,2128,Sociologický ústav ČSAV,Sociologie česká v l. 1948–1994
8,16,2196,Sociologický ústav ČSAV,Sociologie podniku
9,18,2128,Sportpropag,Sociologie česká v l. 1948–1994
10,22,2128,Ústav pro filosofii a sociologii ČSAV,Sociologie česká v l. 1948–1994
11,24,2128,Ústav pro výzkum veřejného mínění ČSAV,Sociologie česká v l. 1948–1994
12,24,2791,Ústav pro výzkum veřejného mínění ČSAV,Výzkum veřejného mínění
13,25,2791,Ústav pro výzkum veřejného mínění FSÚ,Výzkum veřejného mínění
14,26,2128,Ústav sociálně politických věd UK,Sociologie česká v l. 1948–1994
15,30,2128,Výzkumný ústav sociálního rozvoje a práce,Sociologie česká v l. 1948–1994
16,33,2127,Biskupské semináře,Sociologie česká do r. 1948
17,39,610,Karlova univerzita v Praze,Fašismus český
18,39,2127,Karlova univerzita v Praze,Sociologie česká do r. 1948
19,39,2128,Karlova univerzita v Praze,Sociologie česká v l. 1948–1994
20,40,2219,Komenského univerzita v Bratislavě,Sociologie slovenská
21,41,1175,Masarykova univerzita v Brně,Lékařství sociální
22,41,2127,Masarykova univerzita v Brně,Sociologie česká do r. 1948
23,41,2128,Masarykova univerzita v Brně,Sociologie česká v l. 1948–1994
24,43,610,Německá univerzita v Praze,Fašismus český
25,45,2127,Palackého univerzita v Olomouci,Sociologie česká do r. 1948
26,45,2128,Palackého univerzita v Olomouci,Sociologie česká v l. 1948–1994
27,52,2128,Vojenská politická akademie Klementa Gottwalda v Praze,Sociologie česká v l. 1948–1994
28,54,2196,Vysoká škola ekonomická v Praze,Sociologie podniku
29,56,2127,Vysoká škola politická a sociální v Praze,Sociologie česká do r. 1948
30,57,2128,Vysoká škola politická ÚV KSČ v Praze,Sociologie česká v l. 1948–1994
31,58,2127,Vysoká škola sociální v Brně,Sociologie česká do r. 1948
32,59,2196,Vysoká škola strojní a elektrotechnická v Plzni,Sociologie podniku
33,62,322,Česká demografická společnost,Demografie
34,63,2128,Česká sociologická společnost,Sociologie česká v l. 1948–1994
35,64,2128,Československá sociologická společnost při ČSAV,Sociologie česká v l. 1948–1994
36,64,2130,Československá sociologická společnost při ČSAV,Sociologie deviantního chování
37,64,2175,Československá sociologická společnost při ČSAV,Sociologie marxisticko-leninská
38,64,2181,Československá sociologická společnost při ČSAV,Sociologie mládeže
39,64,2219,Československá sociologická společnost při ČSAV,Sociologie slovenská
40,64,2249,Československá sociologická společnost při ČSAV,Sociologie vojenství
41,68,2128,Společnost pro sociální bádání,Sociologie česká v l. 1948–1994
42,72,2128,Biograf,Sociologie česká v l. 1948–1994
43,79,323,Historická demografie,Demografie historická
44,95,1728,Sociální problémy,Pražský lingvistický kroužek
45,95,2127,Sociální problémy,Sociologie česká do r. 1948
46,101,2127,Sociologická revue,Sociologie česká do r. 1948
47,102,2128,Sociologické aktuality,Sociologie česká v l. 1948–1994
48,103,2128,Sociologický časopis / Czech Sociological Review,Sociologie česká v l. 1948–1994
49,103,2219,Sociologický časopis / Czech Sociological Review,Sociologie slovenská
50,103,2869,Sociologický časopis / Czech Sociological Review,Ženy v sociologii
51,104,541,Sociologický obzor,Etika vědy
52,104,2128,Sociologický obzor,Sociologie česká v l. 1948–1994
53,104,2175,Sociologický obzor,Sociologie marxisticko-leninská
54,104,2219,Sociologický obzor,Sociologie slovenská
55,109,2128,Studia sociologica,Sociologie česká v l. 1948–1994
56,114,2128,Sociologická knižnice nakladatelství Svoboda,Sociologie česká v l. 1948–1994
57,115,2128,Sociologické nakladatelství (SLON),Sociologie česká v l. 1948–1994
58,116,38,Analýza (časopis),Analýza
59,117,322,Demografie (časopis),Demografie
60,118,1562,Parlament (časopis),Parlament
61,119,2555,Teorie vědy (časopis),Teorie vědy
63,9,38,Dům techniky ČSVTS Pardubice,Analýza
66,107,322,Statistika,Demografie
69,95,1562,Sociální problémy,Parlament
73,105,2254,Sociologie a historie zemědělství,Sociologie zemědělství
