id,id1,id2,name1,name2,atr
1,2,35,Alan Josef,Sociologický obzor,1969-1989
2,10,33,Brokl Lubomír,Sociologické aktuality,1969-1989
3,17,18,Disman Miroslav,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,1969-1989
4,18,7,Dubská Irena,Filosofický časopis,1969-1989
5,18,34,Dubská Irena,Sociologický časopis / Czech Sociological Review,1969-1989
6,21,44,Fajfr František,Demografie (časopis),1969-1989
7,22,7,Filipcová Blanka,Filosofický časopis,1969-1989
8,22,16,Filipcová Blanka,Nová mysl,1969-1989
9,23,7,Filipec Jindřich,Filosofický časopis,1969-1989
10,23,16,Filipec Jindřich,Nová mysl,1969-1989
11,30,35,Gabal Ivan,Sociologický obzor,1969-1989
12,40,34,Havelka Miloš,Sociologický časopis / Czech Sociological Review,1969-1989
13,48,33,Illner Michal,Sociologické aktuality,1969-1989
14,48,34,Illner Michal,Sociologický časopis / Czech Sociological Review,1969-1989
15,52,18,Jungmann Bohumil,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,1969-1989
16,55,16,Kadlecová Erika,Nová mysl,1969-1989
17,57,7,Kaláb Miloš,Filosofický časopis,1969-1989
18,60,33,Kapr Jaroslav,Sociologické aktuality,1969-1989
19,62,33,Keller Jan,Sociologické aktuality,1969-1989
20,65,16,Klofáč Jaroslav,Nová mysl,1969-1989
21,78,18,Lamser Václav,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,1969-1989
22,78,44,Lamser Václav,Demografie (časopis),1969-1989
23,79,19,Librová Hana,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),1969-1989
24,81,33,Linhart Jiří,Sociologické aktuality,1969-1989
25,81,34,Linhart Jiří,Sociologický časopis / Czech Sociological Review,1969-1989
26,83,19,Macků Jan,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),1969-1989
27,84,16,Machonin Pavel,Nová mysl,1969-1989
28,84,18,Machonin Pavel,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,1969-1989
29,97,19,Možný Ivo,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),1969-1989
30,97,35,Možný Ivo,Sociologický obzor,1969-1989
31,97,44,Možný Ivo,Demografie (časopis),1969-1989
32,98,33,Musil Jiří,Sociologické aktuality,1969-1989
33,98,34,Musil Jiří,Sociologický časopis / Czech Sociological Review,1969-1989
34,98,44,Musil Jiří,Demografie (časopis),1969-1989
35,102,19,Nový Lubomír,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),1969-1989
36,105,19,Ovesný Miroslav,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),1969-1989
37,106,10,Pavlík Zdeněk,Historická demografie,1969-1989
38,108,18,Petrusek Miloslav,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,1969-1989
39,108,33,Petrusek Miloslav,Sociologické aktuality,1969-1989
40,108,35,Petrusek Miloslav,Sociologický obzor,1969-1989
41,108,40,Petrusek Miloslav,Studia sociologica,1969-1989
42,125,34,Sedláček Oto,Sociologický časopis / Czech Sociological Review,1969-1989
43,125,40,Sedláček Oto,Studia sociologica,1969-1989
44,125,43,Sedláček Oto,Analýza (časopis),1969-1989
