id,id1,id2,name1,name2,atr
1,1,24,Adamec Čeněk,Ústav pro výzkum veřejného mínění ČSAV,1969-1989
2,1,25,Adamec Čeněk,Ústav pro výzkum veřejného mínění FSÚ,1969-1989
3,1,36,Adamec Čeněk,České vysoké učení technické v Praze,1969-1989
4,1,64,Adamec Čeněk,Československá sociologická společnost při ČSAV,1969-1989
5,1,72,Adamec Čeněk,Sociologická knižnice nakladatelství Svoboda,1969-1989
6,2,18,Alan Josef,Sportpropag,1969-1989
7,2,26,Alan Josef,Ústav sociálně politických věd UK,1969-1989
8,2,30,Alan Josef,Výzkumný ústav sociálního rozvoje a práce,1969-1989
9,2,39,Alan Josef,Karlova univerzita v Praze,1969-1989
10,2,72,Alan Josef,Sociologická knižnice nakladatelství Svoboda,1969-1989
11,3,39,Árnason Johann Pál,Karlova univerzita v Praze,1969-1989
12,7,18,Blažek Bohuslav,Sportpropag,1969-1989
13,10,16,Brokl Lubomír,Sociologický ústav ČSAV,1969-1989
14,10,26,Brokl Lubomír,Ústav sociálně politických věd UK,1969-1989
15,10,31,Brokl Lubomír,Výzkumný ústav strojírenské technologie a ekonomiky,1969-1989
16,17,26,Disman Miroslav,Ústav sociálně politických věd UK,1969-1989
17,17,39,Disman Miroslav,Karlova univerzita v Praze,1969-1989
18,17,64,Disman Miroslav,Československá sociologická společnost při ČSAV,1969-1989
19,17,72,Disman Miroslav,Sociologická knižnice nakladatelství Svoboda,1969-1989
20,18,16,Dubská Irena,Sociologický ústav ČSAV,1969-1989
21,18,64,Dubská Irena,Československá sociologická společnost při ČSAV,1969-1989
22,21,39,Fajfr František,Karlova univerzita v Praze,1969-1989
23,21,62,Fajfr František,Česká demografická společnost,1969-1989
24,22,16,Filipcová Blanka,Sociologický ústav ČSAV,1969-1989
25,22,22,Filipcová Blanka,Ústav pro filosofii a sociologii ČSAV,1969-1989
26,22,26,Filipcová Blanka,Ústav sociálně politických věd UK,1969-1989
27,22,39,Filipcová Blanka,Karlova univerzita v Praze,1969-1989
28,22,64,Filipcová Blanka,Československá sociologická společnost při ČSAV,1969-1989
29,22,72,Filipcová Blanka,Sociologická knižnice nakladatelství Svoboda,1969-1989
30,23,22,Filipec Jindřich,Ústav pro filosofii a sociologii ČSAV,1969-1989
31,23,39,Filipec Jindřich,Karlova univerzita v Praze,1969-1989
32,23,64,Filipec Jindřich,Československá sociologická společnost při ČSAV,1969-1989
33,23,72,Filipec Jindřich,Sociologická knižnice nakladatelství Svoboda,1969-1989
34,24,41,Fischer Josef Ludvík,Masarykova univerzita v Brně,1969-1989
35,24,45,Fischer Josef Ludvík,Palackého univerzita v Olomouci,1969-1989
36,24,64,Fischer Josef Ludvík,Československá sociologická společnost při ČSAV,1969-1989
37,25,42,Foret Miroslav,Mendelova univerzita v Brně,1969-1989
38,25,62,Foret Miroslav,Česká demografická společnost,1969-1989
39,25,72,Foret Miroslav,Sociologická knižnice nakladatelství Svoboda,1969-1989
40,28,39,Frič Pavol,Karlova univerzita v Praze,1969-1989
41,30,22,Gabal Ivan,Ústav pro filosofii a sociologii ČSAV,1969-1989
42,30,39,Gabal Ivan,Karlova univerzita v Praze,1969-1989
