ID,ID1,ID2,NAME1,NAME2
1,1,7,Adamec Čeněk,Československý ústav pro výzkum veřejného mínění
2,1,24,Adamec Čeněk,Ústav pro výzkum veřejného mínění ČSAV
3,1,25,Adamec Čeněk,Ústav pro výzkum veřejného mínění FSÚ
4,1,36,Adamec Čeněk,České vysoké učení technické v Praze
5,1,64,Adamec Čeněk,Československá sociologická společnost při ČSAV
6,1,67,Adamec Čeněk,Sociologický kruh posluchačů vysokých škol pražských
7,1,81,Adamec Čeněk,Kruh
8,1,110,Adamec Čeněk,Veřejné mínění
9,1,114,Adamec Čeněk,Sociologická knižnice nakladatelství Svoboda
10,2,18,Alan Josef,Sportpropag
11,2,26,Alan Josef,Ústav sociálně politických věd UK
12,2,30,Alan Josef,Výzkumný ústav sociálního rozvoje a práce
13,2,39,Alan Josef,Karlova univerzita v Praze
14,2,104,Alan Josef,Sociologický obzor
15,2,114,Alan Josef,Sociologická knižnice nakladatelství Svoboda
16,2,115,Alan Josef,Sociologické nakladatelství (SLON)
17,3,39,Árnason Johann Pál,Karlova univerzita v Praze
18,4,6,Auerhan Jan,Československý ústav zahraniční
19,4,19,Auerhan Jan,Státní úřad statistický
20,4,83,Auerhan Jan,Naše doba
21,4,106,Auerhan Jan,Statistický obzor
22,5,20,Beneš Edvard,Sociální ústav ČSR
23,5,36,Beneš Edvard,České vysoké učení technické v Praze
24,5,39,Beneš Edvard,Karlova univerzita v Praze
25,5,65,Beneš Edvard,Masarykova sociologická společnost
26,5,67,Beneš Edvard,Sociologický kruh posluchačů vysokých škol pražských
27,5,74,Beneš Edvard,Česká mysl
28,5,83,Beneš Edvard,Naše doba
29,5,113,Beneš Edvard,Sociologická knihovna MSS
30,6,5,Bláha Inocenc Arnošt,Československá akademie zemědělská
31,6,14,Bláha Inocenc Arnošt,Slezský ústav v Praze
32,6,34,Bláha Inocenc Arnošt,Česká technická vysoká škola v Brně
33,6,41,Bláha Inocenc Arnošt,Masarykova univerzita v Brně
34,6,58,Bláha Inocenc Arnošt,Vysoká škola sociální v Brně
35,6,65,Bláha Inocenc Arnošt,Masarykova sociologická společnost
36,6,74,Bláha Inocenc Arnošt,Česká mysl
37,6,83,Bláha Inocenc Arnošt,Naše doba
38,6,88,Bláha Inocenc Arnošt,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
39,6,94,Bláha Inocenc Arnošt,Sociální pracovnice
40,6,96,Bláha Inocenc Arnošt,Sociální revue
41,6,101,Bláha Inocenc Arnošt,Sociologická revue
42,6,113,Bláha Inocenc Arnošt,Sociologická knihovna MSS
43,6,118,Bláha Inocenc Arnošt,Parlament (časopis)
44,7,18,Blažek Bohuslav,Sportpropag
45,8,5,Boháč Antonín,Československá akademie zemědělská
46,8,19,Boháč Antonín,Státní úřad statistický
47,8,36,Boháč Antonín,České vysoké učení technické v Praze
48,8,39,Boháč Antonín,Karlova univerzita v Praze
49,8,56,Boháč Antonín,Vysoká škola politická a sociální v Praze
50,8,68,Boháč Antonín,Společnost pro sociální bádání
51,8,83,Boháč Antonín,Naše doba
52,8,95,Boháč Antonín,Sociální problémy
53,8,106,Boháč Antonín,Statistický obzor
54,8,112,Boháč Antonín,Knihovna Sociálních problémů
55,10,15,Brokl Lubomír,Sociologický ústav AV ČR
56,10,16,Brokl Lubomír,Sociologický ústav ČSAV
57,10,26,Brokl Lubomír,Ústav sociálně politických věd UK
58,10,31,Brokl Lubomír,Výzkumný ústav strojírenské technologie a ekonomiky
59,10,49,Brokl Lubomír,Univerzita Hradec Králové
60,10,102,Brokl Lubomír,Sociologické aktuality
61,11,101,Butter Oskar,Sociologická revue
62,15,5,Čep Tomáš,Československá akademie zemědělská
63,15,14,Čep Tomáš,Slezský ústav v Praze
64,15,42,Čep Tomáš,Mendelova univerzita v Brně
65,15,65,Čep Tomáš,Masarykova sociologická společnost
66,15,101,Čep Tomáš,Sociologická revue
