id,id1,id2,name1,name2
1,1,16,Adamec Čeněk,Dědek František
2,1,94,Adamec Čeněk,Mertl Jan
3,2,32,Alan Josef,Gál Fedor
4,2,84,Alan Josef,Machonin Pavel
5,2,108,Alan Josef,Petrusek Miloslav
6,4,8,Auerhan Jan,Boháč Antonín
7,4,69,Auerhan Jan,Korčák Jaromír
8,5,24,Beneš Edvard,Fischer Josef Ludvík
9,5,27,Beneš Edvard,Foustka Břetislav
10,5,33,Beneš Edvard,Galla Karel
11,5,42,Beneš Edvard,Hník František Maria
12,5,72,Beneš Edvard,Král Josef
13,5,77,Beneš Edvard,Kunte Ladislav
14,5,82,Beneš Edvard,Macek Josef
15,5,85,Beneš Edvard,Machotka Otakar
16,5,88,Beneš Edvard,Malý Rudolf Ina
17,5,91,Beneš Edvard,Masaryk Tomáš Garrigue
18,5,94,Beneš Edvard,Mertl Jan
19,5,109,Beneš Edvard,Pistorius Theodor
20,5,134,Beneš Edvard,Sorokin Pitirim Alexandrovič
21,5,148,Beneš Edvard,Šrámek Jan
22,6,5,Bláha Inocenc Arnošt,Beneš Edvard
23,6,11,Bláha Inocenc Arnošt,Butter Oskar
24,6,15,Bláha Inocenc Arnošt,Čep Tomáš
25,6,31,Bláha Inocenc Arnošt,Gaďourek Ivan
26,6,33,Bláha Inocenc Arnošt,Galla Karel
27,6,37,Bláha Inocenc Arnošt,Hájek Mojmír
28,6,39,Bláha Inocenc Arnošt,Hanáček Jaroslav
29,6,42,Bláha Inocenc Arnošt,Hník František Maria
30,6,46,Bláha Inocenc Arnošt,Chalupný Emanuel
31,6,70,Bláha Inocenc Arnošt,Kozák Jan Blahoslav
32,6,72,Bláha Inocenc Arnošt,Král Josef
33,6,77,Bláha Inocenc Arnošt,Kunte Ladislav
34,6,83,Bláha Inocenc Arnošt,Macků Jan
35,6,85,Bláha Inocenc Arnošt,Machotka Otakar
36,6,97,Bláha Inocenc Arnošt,Možný Ivo
37,6,103,Bláha Inocenc Arnošt,Obrdlík Antonín
38,6,104,Bláha Inocenc Arnošt,Obrdlíková Juliana
39,6,120,Bláha Inocenc Arnošt,Rouček Joseph Slabey
40,6,134,Bláha Inocenc Arnošt,Sorokin Pitirim Alexandrovič
41,6,137,Bláha Inocenc Arnošt,Strmiska Zdeněk
42,6,144,Bláha Inocenc Arnošt,Šíma Jaroslav
43,6,145,Bláha Inocenc Arnošt,Škrach Vasil Kaprálek
44,6,152,Bláha Inocenc Arnošt,Tauber Jan Bohumil
45,6,157,Bláha Inocenc Arnošt,Trapl Miloslav
46,6,160,Bláha Inocenc Arnošt,Ullrich Zdeněk
47,6,176,Bláha Inocenc Arnošt,Zwicker Bruno
48,6,178,Bláha Inocenc Arnošt,Žmavc Ivan
49,8,61,Boháč Antonín,Kárníková Ludmila
50,8,69,Boháč Antonín,Korčák Jaromír
51,8,115,Boháč Antonín,Rádl Emanuel
52,8,135,Boháč Antonín,Srb Vladimír
53,9,139,Bolzano Bernard,Suda Zdeněk
54,10,111,Brokl Lubomír,Potůček Martin
55,13,70,Čapek Karel,Kozák Jan Blahoslav
56,13,82,Čapek Karel,Macek Josef
57,13,107,Čapek Karel,Peroutka Ferdinand
58,15,33,Čep Tomáš,Galla Karel
59,15,152,Čep Tomáš,Tauber Jan Bohumil
60,18,85,Dubská Irena,Machotka Otakar
61,19,91,Durdík Josef,Masaryk Tomáš Garrigue
62,21,135,Fajfr František,Srb Vladimír
63,22,23,Filipcová Blanka,Filipec Jindřich
64,22,30,Filipcová Blanka,Gabal Ivan
65,22,93,Filipcová Blanka,Matějů Petr
66,23,90,Filipec Jindřich,Marušiak Martin
67,23,139,Filipec Jindřich,Suda Zdeněk
68,23,152,Filipec Jindřich,Tauber Jan Bohumil
69,24,6,Fischer Josef Ludvík,Bláha Inocenc Arnošt
70,24,9,Fischer Josef Ludvík,Bolzano Bernard
71,24,14,Fischer Josef Ludvík,Čecháček Jaroslav
72,24,31,Fischer Josef Ludvík,Gaďourek Ivan
73,24,46,Fischer Josef Ludvík,Chalupný Emanuel
74,24,51,Fischer Josef Ludvík,Jochmann Vladimír
75,24,58,Fischer Josef Ludvík,Kalandra Záviš
76,24,72,Fischer Josef Ludvík,Král Josef
