id,id1,id2,name1,name2,atr
1,1,10,1969-1989,Historická demografie,10++Etnologický ústav AV ČR
2,1,10,1969-1989,Historická demografie,39++Karlova univerzita v Praze
3,1,18,1969-1989,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,26++Ústav sociálně politických věd UK
4,1,19,1969-1989,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),41++Masarykova univerzita v Brně
5,1,31,1969-1989,Sociologica,45++Palackého univerzita v Olomouci
6,1,34,1969-1989,Sociologický časopis / Czech Sociological Review,4++Vědecké kolegium filosofie a sociologie ČSAV
7,1,34,1969-1989,Sociologický časopis / Czech Sociological Review,22++Ústav pro filosofii a sociologii ČSAV
8,1,36,1969-1989,Sociologie a historie zemědělství,11++Institut sociologie venkova a historie zemědělství VÚZEI
9,1,40,1969-1989,Studia sociologica,39++Karlova univerzita v Praze
10,1,43,1969-1989,Analýza (časopis),9++Dům techniky ČSVTS Pardubice
11,1,33,1969-1989,Sociologické aktuality,22++Ústav pro filosofii a sociologii ČSAV
12,1,36,1969-1989,Sociologie a historie zemědělství,35++Česká zemědělská univerzita v Praze
