id,id1,id2,name1,name2,atr
1,1,24,1969-1989,Ústav pro výzkum veřejného mínění ČSAV,1++Adamec Čeněk
2,1,25,1969-1989,Ústav pro výzkum veřejného mínění FSÚ,1++Adamec Čeněk
3,1,36,1969-1989,České vysoké učení technické v Praze,1++Adamec Čeněk
4,1,64,1969-1989,Československá sociologická společnost při ČSAV,1++Adamec Čeněk
5,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,1++Adamec Čeněk
6,1,18,1969-1989,Sportpropag,2++Alan Josef
7,1,26,1969-1989,Ústav sociálně politických věd UK,2++Alan Josef
8,1,30,1969-1989,Výzkumný ústav sociálního rozvoje a práce,2++Alan Josef
9,1,39,1969-1989,Karlova univerzita v Praze,2++Alan Josef
10,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,2++Alan Josef
11,1,39,1969-1989,Karlova univerzita v Praze,3++Árnason Johann Pál
12,1,18,1969-1989,Sportpropag,7++Blažek Bohuslav
13,1,16,1969-1989,Sociologický ústav ČSAV,10++Brokl Lubomír
14,1,26,1969-1989,Ústav sociálně politických věd UK,10++Brokl Lubomír
15,1,31,1969-1989,Výzkumný ústav strojírenské technologie a ekonomiky,10++Brokl Lubomír
16,1,26,1969-1989,Ústav sociálně politických věd UK,17++Disman Miroslav
17,1,39,1969-1989,Karlova univerzita v Praze,17++Disman Miroslav
18,1,64,1969-1989,Československá sociologická společnost při ČSAV,17++Disman Miroslav
19,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,17++Disman Miroslav
20,1,16,1969-1989,Sociologický ústav ČSAV,18++Dubská Irena
21,1,64,1969-1989,Československá sociologická společnost při ČSAV,18++Dubská Irena
22,1,39,1969-1989,Karlova univerzita v Praze,21++Fajfr František
23,1,62,1969-1989,Česká demografická společnost,21++Fajfr František
24,1,16,1969-1989,Sociologický ústav ČSAV,22++Filipcová Blanka
25,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,22++Filipcová Blanka
26,1,26,1969-1989,Ústav sociálně politických věd UK,22++Filipcová Blanka
27,1,39,1969-1989,Karlova univerzita v Praze,22++Filipcová Blanka
28,1,64,1969-1989,Československá sociologická společnost při ČSAV,22++Filipcová Blanka
29,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,22++Filipcová Blanka
30,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,23++Filipec Jindřich
31,1,39,1969-1989,Karlova univerzita v Praze,23++Filipec Jindřich
32,1,64,1969-1989,Československá sociologická společnost při ČSAV,23++Filipec Jindřich
33,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,23++Filipec Jindřich
34,1,41,1969-1989,Masarykova univerzita v Brně,24++Fischer Josef Ludvík
35,1,45,1969-1989,Palackého univerzita v Olomouci,24++Fischer Josef Ludvík
36,1,64,1969-1989,Československá sociologická společnost při ČSAV,24++Fischer Josef Ludvík
37,1,42,1969-1989,Mendelova univerzita v Brně,25++Foret Miroslav
38,1,62,1969-1989,Česká demografická společnost,25++Foret Miroslav
39,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,25++Foret Miroslav
40,1,39,1969-1989,Karlova univerzita v Praze,28++Frič Pavol
41,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,30++Gabal Ivan
42,1,39,1969-1989,Karlova univerzita v Praze,30++Gabal Ivan
43,1,18,1969-1989,Sportpropag,32++Gál Fedor
44,1,4,1969-1989,Vědecké kolegium filosofie a sociologie ČSAV,33++Galla Karel
45,1,39,1969-1989,Karlova univerzita v Praze,33++Galla Karel
46,1,64,1969-1989,Československá sociologická společnost při ČSAV,33++Galla Karel
47,1,68,1969-1989,Společnost pro sociální bádání,34++Geist Bohumil
48,1,41,1969-1989,Masarykova univerzita v Brně,37++Hájek Mojmír
49,1,39,1969-1989,Karlova univerzita v Praze,38++Hampl Martin
50,1,39,1969-1989,Karlova univerzita v Praze,40++Havelka Miloš
51,1,16,1969-1989,Sociologický ústav ČSAV,45++Huláková Marie
52,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,45++Huláková Marie
53,1,64,1969-1989,Československá sociologická společnost při ČSAV,45++Huláková Marie
54,1,4,1969-1989,Vědecké kolegium filosofie a sociologie ČSAV,47++Charvát František
55,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,47++Charvát František
56,1,64,1969-1989,Československá sociologická společnost při ČSAV,47++Charvát František
57,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,47++Charvát František
58,1,16,1969-1989,Sociologický ústav ČSAV,48++Illner Michal
59,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,48++Illner Michal
60,1,62,1969-1989,Česká demografická společnost,48++Illner Michal
61,1,72,1969-1989,Sociologická knižnice nakladatelství Svoboda,48++Illner Michal
62,1,39,1969-1989,Karlova univerzita v Praze,49++Jeřábek Hynek
63,1,16,1969-1989,Sociologický ústav ČSAV,50++Jodl Miroslav
64,1,45,1969-1989,Palackého univerzita v Olomouci,51++Jochmann Vladimír
65,1,25,1969-1989,Ústav pro výzkum veřejného mínění FSÚ,52++Jungmann Bohumil
66,1,26,1969-1989,Ústav sociálně politických věd UK,52++Jungmann Bohumil
67,1,30,1969-1989,Výzkumný ústav sociálního rozvoje a práce,52++Jungmann Bohumil
68,1,18,1969-1989,Sportpropag,53++Kabele Jiří
69,1,39,1969-1989,Karlova univerzita v Praze,53++Kabele Jiří
70,1,16,1969-1989,Sociologický ústav ČSAV,55++Kadlecová Erika
