ID,ID1,ID2,NAME1,NAME2
1,1,577,Abendland,Evropanství
2,1,1519,Abendland,Ostforschung
3,1,1959,Abendland,Romantismus
4,1,2557,Abendland,Teorie vývoje cyklické
5,1,2766,Abendland,Výpravy křížové
6,2,2401,Abiturient,Student
7,3,1162,Absolutismus,Laissez faire
8,3,1562,Absolutismus,Parlament
9,3,1567,Absolutismus,Paternalismus státní
10,3,2082,Absolutismus,Smlouva společenská
11,3,2342,Absolutismus,Stát absolutistický
12,3,2349,Absolutismus,Stát policejní
13,3,2352,Absolutismus,Stát stavovský
14,3,2364,Absolutismus,Stav urozených
15,3,2587,Absolutismus,Totalitarismus
16,5,2,Absolvent,Abiturient
17,5,2401,Absolvent,Student
18,6,2046,Absurdita,Situace mezní
19,6,2113,Absurdita,Sociologie absurdity
20,6,2139,Absurdita,Sociologie existencialistická
21,7,8,Adaptace,Adjustace
22,7,10,Adaptace,Adopce
23,7,24,Adaptace,Akomodace
24,7,92,Adaptace,Anomie
25,7,150,Adaptace,Asimilace
26,7,527,Adaptace,Eskapismus
27,7,662,Adaptace,Fylogeneze
28,7,673,Adaptace,Generace
29,7,801,Adaptace,Chaos
30,7,885,Adaptace,Inovace
31,7,1399,Adaptace,Nemoc
32,7,1427,Adaptace,Norma
33,7,1516,Adaptace,Osobnost marginální
34,7,1546,Adaptace,Paměť
35,7,1577,Adaptace,Péče sociální
36,7,1611,Adaptace,Podmiňování
37,7,1702,Adaptace,Pozorování přímé
38,7,1726,Adaptace,Praxe
39,7,1742,Adaptace,Privatizace
40,7,1847,Adaptace,Psychologie humanistická
41,7,1853,Adaptace,Psychologie práce
42,7,1924,Adaptace,Resocializace
43,7,1928,Adaptace,Retreatismus
44,7,2015,Adaptace,Sebevzdělávání
45,7,2102,Adaptace,Socializace anticipující
46,7,2166,Adaptace,Sociologie kultury
47,7,2183,Adaptace,Sociologie módy
48,7,2340,Adaptace,Stáří
49,7,2387,Adaptace,Stres
50,7,2632,Adaptace,Učení sociální
51,7,2729,Adaptace,Vnímání
52,8,659,Adjustace,Funkcionalismus strukturální
53,10,755,Adopce,Hodnota dítěte
54,10,1823,Adopce,Příbuzenství
55,10,2760,Adopce,Výchova rodinná náhradní
56,11,1099,Adorace,Konvence společenská
57,11,1141,Adorace,Kult
58,11,1143,Adorace,Kult osobnosti
59,11,1236,Adorace,Matka
60,11,1339,Adorace,Modlitba
61,11,1341,Adorace,Monarchie
62,11,1377,Adorace,Nadčlověk
63,11,1440,Adorace,Oběť
64,11,1553,Adorace,Papež
65,11,1607,Adorace,Pocta veřejná
66,11,1946,Adorace,Rituál
67,11,1979,Adorace,Rytířství
68,11,2737,Adorace,Vůdcovství
69,12,13,Aféra,Aféra Dreyfusova
70,12,610,Aféra,Fašismus český
71,12,1348,Aféra,Morálka
72,12,1521,Aféra,Ostuda veřejná
73,12,2051,Aféra,Skandál
74,14,426,Afiliace,Drogy
75,14,774,Afiliace,Hostilita
76,14,1689,Afiliace,Potřeby
77,16,366,Aglomerace,Dezurbanizace
78,16,683,Aglomerace,Geografie lidských sídel
79,16,1097,Aglomerace,Konurbace
80,16,1243,Aglomerace,Megalopolis
81,16,1259,Aglomerace,Město
82,16,1631,Aglomerace,Pól rozvoje
83,16,1978,Aglomerace,Rurbanizace
84,16,2040,Aglomerace,Sídlo
85,16,2513,Aglomerace,Teorie centrálních míst
86,16,2684,Aglomerace,Věda regionální
87,16,2710,Aglomerace,Velkoměsto
88,17,663,Agrarismus,Fyziokratismus
89,17,1127,Agrarismus,Krize agrární
90,17,1524,Agrarismus,Otázka agrární
91,17,1634,Agrarismus,Politika agrární
92,17,1955,Agrarismus,Rolnictvo
93,17,2244,Agrarismus,Sociologie venkova
94,17,2374,Agrarismus,Strana agrární
95,17,2838,Agrarismus,Zemědělství
96,18,257,Agregát sociální,Crowding
97,18,290,Agregát sociální,Dav
98,18,1032,Agregát sociální,Kolektivita
99,18,2067,Agregát sociální,Skupina společenská
100,18,2256,Agregát sociální,Sociometrie
101,18,2286,Agregát sociální,Společnost
102,19,20,Agrese,Agresivita
103,19,112,Agrese,Antropologie filozofická
104,19,149,Agrese,Asertivita
105,19,189,Agrese,Beránek obětní
106,19,204,Agrese,Biosociologie
107,19,257,Agrese,Crowding
108,19,301,Agrese,Dehumanizace
109,19,519,Agrese,Epifenomenalismus
110,19,651,Agrese,Frustrace
111,19,667,Agrese,Gang
112,19,818,Agrese,Chování agresivní
113,19,838,Agrese,Chuligánství
114,19,842,Agrese,Id
115,19,887,Agrese,Instinkt
116,19,1389,Agrese,Násilí
117,19,1814,Agrese,Předsudek
118,19,1923,Agrese,Resentiment
119,19,2014,Agrese,Sebevražda
120,19,2533,Agrese,Teorie míru
121,19,2845,Agrese,Zlo
122,19,2868,Agrese,Žena
123,21,361,AIDS,Deviace sociální
124,21,1307,AIDS,Milosrdenství
125,21,1787,AIDS,Promiskuita
126,21,1796,AIDS,Prostituce
127,21,1939,AIDS,Revoluce sexuální
128,23,22,Akademismus,Akademie
129,23,174,Akademismus,Avantgarda umělecká
130,23,1220,Akademismus,Manýrismus
131,24,8,Akomodace,Adjustace
132,24,1483,Akomodace,Ontogeneze
133,25,270,Aktér,Činnost
134,25,271,Aktér,Činnost politická
135,25,554,Aktér,Etnometodologie
136,25,669,Aktér,Garfinkeling
137,25,767,Aktér,Homo politicus
138,25,900,Aktér,Interakce sociální
139,25,1605,Aktér,Pluralismus teoretický
140,25,1744,Aktér,Problém sociální
141,25,1810,Aktér,Průmysl volného času
142,25,1889,Aktér,Reciprocita
143,25,2111,Aktér,Sociolog
144,25,2112,Aktér,Sociologie
145,25,2167,Aktér,Sociologie kvalitativní
146,25,2184,Aktér,Sociologie morálky
147,25,2211,Aktér,Sociologie rodiny
148,25,2220,Aktér,Sociologie sociálních hnutí
149,25,2534,Aktér,Teorie moci
150,25,2545,Aktér,Teorie sociální interakce
151,25,2548,Aktér,Teorie sociálních sítí
152,25,2734,Aktér,Vrstva
153,25,2801,Aktér,Vztahy mocenské
154,26,1,Akulturace,Abendland
155,26,30,Akulturace,Alkoholismus
156,26,120,Akulturace,Antropologie města
157,26,197,Akulturace,Bilingvismus
158,26,278,Akulturace,Člověk marginální
159,26,292,Akulturace,Dědictví kulturní
160,26,308,Akulturace,Dějiny sociologie
161,26,363,Akulturace,Dezintegrace kulturní
162,26,370,Akulturace,Dialekt
163,26,382,Akulturace,Difuzionismus
164,26,640,Akulturace,Folklór
165,26,873,Akulturace,Infiltrace
166,26,906,Akulturace,Interference jazyková
167,26,908,Akulturace,Internalizace
168,26,940,Akulturace,Jazyk národní
169,26,1002,Akulturace,Klima kulturní
170,26,1068,Akulturace,Konfiguracionismus
171,26,1073,Akulturace,Konflikt kulturní
172,26,1088,Akulturace,Kontakt kulturní
173,26,1101,Akulturace,Konvergence kulturní
174,26,1472,Akulturace,Ohnisko kulturní
175,26,1594,Akulturace,Pilot nation
176,26,1604,Akulturace,Pluralismus kulturní
177,26,1638,Akulturace,Politika jazyková
178,26,1639,Akulturace,Politika kulturní
179,26,1685,Akulturace,Potenciál sociokulturní
180,26,2001,Akulturace,Sbližování sociální
181,26,2126,Akulturace,Sociologie cestovního ruchu
182,26,2132,Akulturace,Sociologie dítěte
183,26,2166,Akulturace,Sociologie kultury
184,26,2222,Akulturace,Sociologie sportu
185,26,2407,Akulturace,Styl životní
186,26,2470,Akulturace,Šok kulturní
187,26,2632,Akulturace,Učení sociální
188,26,2644,Akulturace,Umění
189,26,2654,Akulturace,Urbanizace
190,26,2722,Akulturace,Vkus
191,26,2766,Akulturace,Výpravy křížové
192,26,2797,Akulturace,Vzor kulturní
193,26,2847,Akulturace,Změna kulturní
194,27,2136,Akumulace venální,Sociologie ekonomická
195,27,2603,Akumulace venální,Trh
196,28,1035,Algoritmus,Komparace
197,28,2494,Algoritmus,Techniky sběru informací
198,28,2712,Algoritmus,Verifikace
199,29,138,Alchymie,Archetyp
200,29,528,Alchymie,Esoterismus
201,29,718,Alchymie,Hermetismus
202,29,1171,Alchymie,Léčitelství přírodní
203,29,1477,Alchymie,Okultismus
204,30,360,Alkoholismus,Deviace primární a sekundární
205,30,361,Alkoholismus,Deviace sociální
206,30,426,Alkoholismus,Drogy
207,30,519,Alkoholismus,Epifenomenalismus
208,30,739,Alkoholismus,Hnutí abstinentské
209,30,831,Alkoholismus,Chování protispolečenské
210,30,1123,Alkoholismus,Kriminologie
211,30,1248,Alkoholismus,Mejdan
212,30,1568,Alkoholismus,Patologie sociální
213,30,1734,Alkoholismus,Prevence
214,30,1777,Alkoholismus,Prohibice
215,30,2895,Alkoholismus,Abstinentství
216,31,968,Alokace sociální,Kapitál kulturní
217,32,829,Altruismus,Chování prosociální
218,32,1076,Altruismus,Konflikt sociální
219,32,1165,Altruismus,Láska
220,32,1307,Altruismus,Milosrdenství
221,32,1348,Altruismus,Morálka
222,32,1373,Altruismus,Nacismus
223,32,1577,Altruismus,Péče sociální
224,32,1645,Altruismus,Politika sociální
225,32,2068,Altruismus,Skupina svépomocná
226,32,2106,Altruismus,Sociobiologie
227,32,2137,Altruismus,Sociologie emocí
228,32,2546,Altruismus,Teorie sociální směny
229,32,2661,Altruismus,Utilitarismus
