index,vs_ID,Sociolog_ID,vs,Sociolog
1,38,125,Analýza,Sedláček Oto
2,322,21,Demografie,Fajfr František
3,322,76,Demografie,Kučera Milan
4,322,97,Demografie,Možný Ivo
5,322,106,Demografie,Pavlík Zdeněk
6,322,135,Demografie,Srb Vladimír
7,322,166,Demografie,Večerník Jiří
8,1562,20,Parlament,Dušek Jan
9,1562,85,Parlament,Machotka Otakar
10,1562,94,Parlament,Mertl Jan
11,1562,134,Parlament,Sorokin Pitirim Alexandrovič
12,1562,167,Parlament,Verunáč Václav
13,2555,28,Teorie vědy,Frič Pavol
15,2128,1,Sociologie česká v l. 1948–1994,Adamec Čeněk
17,2229,1,Sociologie tělesné kultury,Adamec Čeněk
19,2791,1,Výzkum veřejného mínění,Adamec Čeněk
21,413,2,Dospělost,Alan Josef
23,987,2,Každodennost,Alan Josef
25,1321,2,Mládí,Alan Josef
27,1535,2,Otázka ženská,Alan Josef
29,1644,2,Politika rodinná,Alan Josef
31,2121,2,Sociologie biografická,Alan Josef
33,2128,2,Sociologie česká v l. 1948–1994,Alan Josef
35,2152,2,Sociologie interpretativní,Alan Josef
37,2175,2,Sociologie marxisticko-leninská,Alan Josef
39,2211,2,Sociologie rodiny,Alan Josef
41,2219,2,Sociologie slovenská,Alan Josef
43,2248,2,Sociologie vědy,Alan Josef
45,2251,2,Sociologie výchovy,Alan Josef
47,2403,2,Stupnice kvalifikační,Alan Josef
49,2758,2,Výchova,Alan Josef
51,2234,3,Sociologie v Austrálii,Árnason Johann Pál
53,30,5,Alkoholismus,Beneš Edvard
55,629,5,Filozofie praxe,Beneš Edvard
57,739,5,Hnutí abstinentské,Beneš Edvard
59,1161,5,Laboretismus,Beneš Edvard
61,2226,5,Sociologie stranictví,Beneš Edvard
63,2261,5,Sokol,Beneš Edvard
65,2836,5,Zednářství,Beneš Edvard
67,18,6,Agregát sociální,Bláha Inocenc Arnošt
69,378,6,Diferenciace sociologie,Bláha Inocenc Arnošt
71,442,6,Dynamika sociální,Bláha Inocenc Arnošt
73,531,6,Etika,Bláha Inocenc Arnošt
75,560,6,Etokracie,Bláha Inocenc Arnošt
77,897,6,Inteligence,Bláha Inocenc Arnošt
79,900,6,Interakce sociální,Bláha Inocenc Arnošt
81,980,6,Kategorie sociální,Bláha Inocenc Arnošt
83,1182,6,Lid,Bláha Inocenc Arnošt
85,1364,6,Náboženství,Bláha Inocenc Arnošt
87,1870,6,Půda,Bláha Inocenc Arnošt
89,1955,6,Rolnictvo,Bláha Inocenc Arnošt
91,2016,6,Sedlák,Bláha Inocenc Arnošt
93,2127,6,Sociologie česká do r. 1948,Bláha Inocenc Arnošt
95,2130,6,Sociologie deviantního chování,Bláha Inocenc Arnošt
97,2179,6,Sociologie města,Bláha Inocenc Arnošt
99,2183,6,Sociologie módy,Bláha Inocenc Arnošt
101,2199,6,Sociologie povolání,Bláha Inocenc Arnošt
103,2211,6,Sociologie rodiny,Bláha Inocenc Arnošt
105,2219,6,Sociologie slovenská,Bláha Inocenc Arnošt
107,2222,6,Sociologie sportu,Bláha Inocenc Arnošt
109,2243,6,Sociologie války,Bláha Inocenc Arnošt
111,2244,6,Sociologie venkova,Bláha Inocenc Arnošt
113,2245,6,Sociologie veřejného mínění,Bláha Inocenc Arnošt
115,2248,6,Sociologie vědy,Bláha Inocenc Arnošt
117,2249,6,Sociologie vojenství,Bláha Inocenc Arnošt
119,2250,6,Sociologie volného času,Bláha Inocenc Arnošt
121,2251,6,Sociologie výchovy,Bláha Inocenc Arnošt
123,2253,6,Sociologie vzdělání,Bláha Inocenc Arnošt
125,2354,6,Statika sociální,Bláha Inocenc Arnošt
127,2402,6,Studie komunitní,Bláha Inocenc Arnošt
129,2643,6,Umělec,Bláha Inocenc Arnošt
131,2714,6,Vesnice,Bláha Inocenc Arnošt
133,322,8,Demografie,Boháč Antonín
135,1665,8,Populacionistika,Boháč Antonín
137,1832,8,Příslušnost etnická,Boháč Antonín
139,2179,8,Sociologie města,Boháč Antonín
141,2540,8,Teorie populační,Boháč Antonín
143,2774,8,Výzkum demografický,Boháč Antonín
145,616,9,Feminismus český,Bolzano Bernard
147,632,9,Filozofie vědy,Bolzano Bernard
149,984,9,Katolicismus sociální,Bolzano Bernard
151,2251,9,Sociologie výchovy,Bolzano Bernard
153,2197,10,Sociologie politiky,Brokl Lubomír
155,2127,11,Sociologie česká do r. 1948,Butter Oskar
157,444,13,Dystopie,Čapek Karel
159,1266,13,Metoda autobiografická,Čapek Karel
161,1728,13,Pražský lingvistický kroužek,Čapek Karel
163,1947,13,Robotizace,Čapek Karel
165,2244,15,Sociologie venkova,Čep Tomáš
167,2249,16,Sociologie vojenství,Dědek František
169,2128,17,Sociologie česká v l. 1948–1994,Disman Miroslav
171,2128,18,Sociologie česká v l. 1948–1994,Dubská Irena
173,2248,18,Sociologie vědy,Dubská Irena
175,2869,18,Ženy v sociologii,Dubská Irena
177,733,19,Historiografie,Durdík Josef
179,2127,20,Sociologie česká do r. 1948,Dušek Jan
182,2128,22,Sociologie česká v l. 1948–1994,Filipcová Blanka
184,2250,22,Sociologie volného času,Filipcová Blanka
186,2869,22,Ženy v sociologii,Filipcová Blanka
188,2128,23,Sociologie česká v l. 1948–1994,Filipec Jindřich
190,560,24,Etokracie,Fischer Josef Ludvík
192,1085,24,Konsensus,Fischer Josef Ludvík
194,1633,24,Politika,Fischer Josef Ludvík
196,2127,24,Sociologie česká do r. 1948,Fischer Josef Ludvík
198,2128,24,Sociologie česká v l. 1948–1994,Fischer Josef Ludvík
200,2861,24,Zrání sociální,Fischer Josef Ludvík
202,2128,25,Sociologie česká v l. 1948–1994,Foret Miroslav
204,2638,25,Ukazatel sociální,Foret Miroslav
206,30,27,Alkoholismus,Foustka Břetislav
208,739,27,Hnutí abstinentské,Foustka Břetislav
210,2127,27,Sociologie česká do r. 1948,Foustka Břetislav
212,2179,27,Sociologie města,Foustka Břetislav
214,2354,27,Statika sociální,Foustka Břetislav
216,1767,28,Prognóza explorativní,Frič Pavol
218,2176,30,Sociologie masové kultury,Gabal Ivan
220,2722,30,Vkus,Gabal Ivan
222,2128,31,Sociologie česká v l. 1948–1994,Gaďourek Ivan
224,2188,31,Sociologie nizozemská,Gaďourek Ivan
226,541,32,Etika vědy,Gál Fedor
228,1767,32,Prognóza explorativní,Gál Fedor
230,2219,32,Sociologie slovenská,Gál Fedor
232,2127,33,Sociologie česká do r. 1948,Galla Karel
234,2130,33,Sociologie deviantního chování,Galla Karel
236,2244,33,Sociologie venkova,Galla Karel
238,2253,33,Sociologie vzdělání,Galla Karel
240,2402,33,Studie komunitní,Galla Karel
242,2849,33,Změna sociální,Galla Karel
244,2128,34,Sociologie česká v l. 1948–1994,Geist Bohumil
246,2122,35,Sociologie britská,Gellner Ernest (Arnošt)
248,2253,36,Sociologie vzdělání,Hájek František
250,2244,37,Sociologie venkova,Hájek Mojmír
252,322,38,Demografie,Hampl Martin
254,725,38,Hierarchie reality,Hampl Martin
256,2654,38,Urbanizace,Hampl Martin
258,2128,40,Sociologie česká v l. 1948–1994,Havelka Miloš
260,1329,41,Model,Hirner Alexander
262,2219,41,Sociologie slovenská,Hirner Alexander
264,2407,45,Styl životní,Huláková Marie
266,270,46,Činnost,Chalupný Emanuel
268,412,46,Dopolavoro,Chalupný Emanuel
270,442,46,Dynamika sociální,Chalupný Emanuel
272,803,46,Charakter národní,Chalupný Emanuel
274,1368,46,Náboženství pozitivistické,Chalupný Emanuel
276,1633,46,Politika,Chalupný Emanuel
278,1797,46,Prostor sociální,Chalupný Emanuel
280,1870,46,Půda,Chalupný Emanuel
282,2127,46,Sociologie česká do r. 1948,Chalupný Emanuel
284,2149,46,Sociologie husitství,Chalupný Emanuel
286,2174,46,Sociologie marxistická,Chalupný Emanuel
288,2183,46,Sociologie módy,Chalupný Emanuel
290,2219,46,Sociologie slovenská,Chalupný Emanuel
292,2222,46,Sociologie sportu,Chalupný Emanuel
294,2243,46,Sociologie války,Chalupný Emanuel
296,2244,46,Sociologie venkova,Chalupný Emanuel
298,2251,46,Sociologie výchovy,Chalupný Emanuel
300,2261,46,Sokol,Chalupný Emanuel
302,2286,46,Společnost,Chalupný Emanuel
304,2354,46,Statika sociální,Chalupný Emanuel
306,2557,46,Teorie vývoje cyklické,Chalupný Emanuel
308,2758,46,Výchova,Chalupný Emanuel
310,2869,46,Ženy v sociologii,Chalupný Emanuel
312,2128,47,Sociologie česká v l. 1948–1994,Charvát František
314,1978,48,Rurbanizace,Illner Michal
316,2128,48,Sociologie česká v l. 1948–1994,Illner Michal
318,2179,48,Sociologie města,Illner Michal
320,2638,48,Ukazatel sociální,Illner Michal
322,465,49,Ekologie sociální,Jeřábek Hynek
324,1257,49,Měření,Jeřábek Hynek
326,2128,50,Sociologie česká v l. 1948–1994,Jodl Miroslav
328,2128,51,Sociologie česká v l. 1948–1994,Jochmann Vladimír
330,1733,52,Prestiž,Jungmann Bohumil
332,2128,52,Sociologie česká v l. 1948–1994,Jungmann Bohumil
334,2178,53,Sociologie medicíny,Kabele Jiří
336,2197,53,Sociologie politiky,Kabele Jiří
338,2548,53,Teorie sociálních sítí,Kabele Jiří
340,2127,54,Sociologie česká do r. 1948,Kadlec Vladimír
342,2128,55,Sociologie česká v l. 1948–1994,Kadlecová Erika
344,2185,55,Sociologie náboženství,Kadlecová Erika
346,1526,56,Otázka česká,Kaizl Josef
348,2128,57,Sociologie česká v l. 1948–1994,Kaláb Miloš
350,1733,60,Prestiž,Kapr Jaroslav
352,2178,60,Sociologie medicíny,Kapr Jaroslav
354,2248,60,Sociologie vědy,Kapr Jaroslav
356,323,61,Demografie historická,Kárníková Ludmila
358,655,62,Funkce latentní,Keller Jan
360,768,62,Homo sociologicus,Keller Jan
362,1132,62,Krize rodiny,Keller Jan
364,1951,62,Rodina,Keller Jan
366,2128,62,Sociologie česká v l. 1948–1994,Keller Jan
368,648,64,Fourierismus,Klácel František Matouš
370,659,65,Funkcionalismus strukturální,Klofáč Jaroslav
372,2128,65,Sociologie česká v l. 1948–1994,Klofáč Jaroslav
374,2128,67,Sociologie česká v l. 1948–1994,Kohout Jaroslav
376,2136,67,Sociologie ekonomická,Kohout Jaroslav
378,2196,67,Sociologie podniku,Kohout Jaroslav
380,265,68,Čas sociální,Kolaja Jiří Tomáš
382,2128,68,Sociologie česká v l. 1948–1994,Kolaja Jiří Tomáš
