ID,CasopisyID1,CasopisyID2,Casopisy1,Casopisy2
1,14,2,Naše doba,Athenaeum
2,7,5,Filosofický časopis,Česká mysl
3,16,5,Nová mysl,Česká mysl
4,16,7,Nová mysl,Filosofický časopis
5,42,18,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
6,30,19,Sociální studia,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
7,32,26,Sociologická revue,Sociální problémy
8,45,26,Parlament (časopis),Sociální problémy
9,8,27,Fórum sociální politiky,Sociální revue
10,27,32,Sociální revue,Sociologická revue
11,45,32,Parlament (časopis),Sociologická revue
12,3,34,Biograf,Sociologický časopis / Czech Sociological Review
13,35,34,Sociologický obzor,Sociologický časopis / Czech Sociological Review
14,38,37,Statistika,Statistický obzor
15,44,37,Demografie (časopis),Statistický obzor
16,44,38,Demografie (časopis),Statistika
