ID,SociologoveID1,CasopisyID2,Sociologove,Casopisy
1,1,12,Adamec Čeněk,Kruh
2,1,41,Adamec Čeněk,Veřejné mínění
3,2,35,Alan Josef,Sociologický obzor
4,4,14,Auerhan Jan,Naše doba
5,4,37,Auerhan Jan,Statistický obzor
6,5,5,Beneš Edvard,Česká mysl
7,5,14,Beneš Edvard,Naše doba
8,6,5,Bláha Inocenc Arnošt,Česká mysl
9,6,14,Bláha Inocenc Arnošt,Naše doba
10,6,19,Bláha Inocenc Arnošt,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
11,6,25,Bláha Inocenc Arnošt,Sociální pracovnice
12,6,27,Bláha Inocenc Arnošt,Sociální revue
13,6,32,Bláha Inocenc Arnošt,Sociologická revue
14,6,45,Bláha Inocenc Arnošt,Parlament (časopis)
15,8,14,Boháč Antonín,Naše doba
16,8,26,Boháč Antonín,Sociální problémy
17,8,37,Boháč Antonín,Statistický obzor
18,10,33,Brokl Lubomír,Sociologické aktuality
19,11,32,Butter Oskar,Sociologická revue
20,15,32,Čep Tomáš,Sociologická revue
21,16,12,Dědek František,Kruh
22,17,18,Disman Miroslav,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
23,17,42,Disman Miroslav,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
24,18,7,Dubská Irena,Filosofický časopis
25,18,34,Dubská Irena,Sociologický časopis / Czech Sociological Review
26,21,5,Fajfr František,Česká mysl
27,21,32,Fajfr František,Sociologická revue
28,21,37,Fajfr František,Statistický obzor
29,21,44,Fajfr František,Demografie (časopis)
30,22,7,Filipcová Blanka,Filosofický časopis
31,22,16,Filipcová Blanka,Nová mysl
32,23,7,Filipec Jindřich,Filosofický časopis
33,23,16,Filipec Jindřich,Nová mysl
34,24,5,Fischer Josef Ludvík,Česká mysl
35,24,32,Fischer Josef Ludvík,Sociologická revue
36,27,5,Foustka Břetislav,Česká mysl
37,27,14,Foustka Břetislav,Naše doba
38,27,32,Foustka Břetislav,Sociologická revue
39,27,45,Foustka Břetislav,Parlament (časopis)
40,30,35,Gabal Ivan,Sociologický obzor
41,33,32,Galla Karel,Sociologická revue
42,39,32,Hanáček Jaroslav,Sociologická revue
43,40,34,Havelka Miloš,Sociologický časopis / Czech Sociological Review
44,46,4,Chalupný Emanuel,Časopis Svobodné školy politických nauk v Praze
45,46,27,Chalupný Emanuel,Sociální revue
46,46,32,Chalupný Emanuel,Sociologická revue
47,48,33,Illner Michal,Sociologické aktuality
48,48,34,Illner Michal,Sociologický časopis / Czech Sociological Review
49,52,18,Jungmann Bohumil,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
50,52,42,Jungmann Bohumil,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
51,55,16,Kadlecová Erika,Nová mysl
52,56,2,Kaizl Josef,Athenaeum
53,56,14,Kaizl Josef,Naše doba
54,57,7,Kaláb Miloš,Filosofický časopis
55,60,33,Kapr Jaroslav,Sociologické aktuality
56,62,33,Keller Jan,Sociologické aktuality
57,65,16,Klofáč Jaroslav,Nová mysl
58,69,37,Korčák Jaromír,Statistický obzor
59,70,5,Kozák Jan Blahoslav,Česká mysl
60,72,5,Král Josef,Česká mysl
61,72,12,Král Josef,Kruh
62,72,26,Král Josef,Sociální problémy
63,72,45,Král Josef,Parlament (časopis)
