id,id1,id2,name1,name2,atr
1,1,7,Adamec Čeněk,Československý ústav pro výzkum veřejného mínění,1800-1948
2,1,36,Adamec Čeněk,České vysoké učení technické v Praze,1800-1948
3,1,67,Adamec Čeněk,Sociologický kruh posluchačů vysokých škol pražských,1800-1948
4,2,39,Alan Josef,Karlova univerzita v Praze,1800-1948
5,3,39,Árnason Johann Pál,Karlova univerzita v Praze,1800-1948
6,4,6,Auerhan Jan,Československý ústav zahraniční,1800-1948
7,4,19,Auerhan Jan,Státní úřad statistický,1800-1948
8,5,20,Beneš Edvard,Sociální ústav ČSR,1800-1948
9,5,36,Beneš Edvard,České vysoké učení technické v Praze,1800-1948
10,5,39,Beneš Edvard,Karlova univerzita v Praze,1800-1948
11,5,65,Beneš Edvard,Masarykova sociologická společnost,1800-1948
12,5,67,Beneš Edvard,Sociologický kruh posluchačů vysokých škol pražských,1800-1948
13,5,71,Beneš Edvard,Sociologická knihovna MSS,1800-1948
14,6,5,Bláha Inocenc Arnošt,Československá akademie zemědělská,1800-1948
15,6,14,Bláha Inocenc Arnošt,Slezský ústav v Praze,1800-1948
16,6,34,Bláha Inocenc Arnošt,Česká technická vysoká škola v Brně,1800-1948
17,6,41,Bláha Inocenc Arnošt,Masarykova univerzita v Brně,1800-1948
18,6,58,Bláha Inocenc Arnošt,Vysoká škola sociální v Brně,1800-1948
19,6,65,Bláha Inocenc Arnošt,Masarykova sociologická společnost,1800-1948
20,6,71,Bláha Inocenc Arnošt,Sociologická knihovna MSS,1800-1948
21,8,5,Boháč Antonín,Československá akademie zemědělská,1800-1948
22,8,19,Boháč Antonín,Státní úřad statistický,1800-1948
23,8,36,Boháč Antonín,České vysoké učení technické v Praze,1800-1948
24,8,39,Boháč Antonín,Karlova univerzita v Praze,1800-1948
25,8,56,Boháč Antonín,Vysoká škola politická a sociální v Praze,1800-1948
26,8,68,Boháč Antonín,Společnost pro sociální bádání,1800-1948
27,8,70,Boháč Antonín,Knihovna Sociálních problémů,1800-1948
