id,id1,id2,name1,name2,atr
1,1,7,Adamec Čeněk,Československý ústav pro výzkum veřejného mínění,1901-1948
2,1,7,Adamec Čeněk,Československý ústav pro výzkum veřejného mínění,1949-1989
3,1,24,Adamec Čeněk,Ústav pro výzkum veřejného mínění ČSAV,1949-1989
4,1,25,Adamec Čeněk,Ústav pro výzkum veřejného mínění FSÚ,1949-1989
5,1,25,Adamec Čeněk,Ústav pro výzkum veřejného mínění FSÚ,1990-2030
6,1,36,Adamec Čeněk,České vysoké učení technické v Praze,1901-1948
7,1,36,Adamec Čeněk,České vysoké učení technické v Praze,1949-1989
8,1,36,Adamec Čeněk,České vysoké učení technické v Praze,1990-2030
9,1,64,Adamec Čeněk,Československá sociologická společnost při ČSAV,1949-1989
10,1,64,Adamec Čeněk,Československá sociologická společnost při ČSAV,1990-2030
11,1,67,Adamec Čeněk,Sociologický kruh posluchačů vysokých škol pražských,1901-1948
12,1,67,Adamec Čeněk,Sociologický kruh posluchačů vysokých škol pražských,1949-1989
13,1,72,Adamec Čeněk,Sociologická knižnice nakladatelství Svoboda,1949-1989
14,2,18,Alan Josef,Sportpropag,1949-1989
15,2,26,Alan Josef,Ústav sociálně politických věd UK,1949-1989
16,2,30,Alan Josef,Výzkumný ústav sociálního rozvoje a práce,1949-1989
17,2,30,Alan Josef,Výzkumný ústav sociálního rozvoje a práce,1990-2030
18,2,39,Alan Josef,Karlova univerzita v Praze,1901-1948
19,2,39,Alan Josef,Karlova univerzita v Praze,1949-1989
20,2,39,Alan Josef,Karlova univerzita v Praze,1990-2030
21,2,72,Alan Josef,Sociologická knižnice nakladatelství Svoboda,1949-1989
22,2,73,Alan Josef,Sociologické nakladatelství (SLON),1990-2030
23,3,39,Árnason Johann Pál,Karlova univerzita v Praze,1901-1948
24,3,39,Árnason Johann Pál,Karlova univerzita v Praze,1949-1989
25,3,39,Árnason Johann Pál,Karlova univerzita v Praze,1990-2030
26,4,6,Auerhan Jan,Československý ústav zahraniční,1901-1948
27,4,19,Auerhan Jan,Státní úřad statistický,1901-1948
28,5,20,Beneš Edvard,Sociální ústav ČSR,1901-1948
29,5,36,Beneš Edvard,České vysoké učení technické v Praze,1901-1948
30,5,39,Beneš Edvard,Karlova univerzita v Praze,1800-1900
31,5,39,Beneš Edvard,Karlova univerzita v Praze,1901-1948
32,5,65,Beneš Edvard,Masarykova sociologická společnost,1901-1948
33,5,67,Beneš Edvard,Sociologický kruh posluchačů vysokých škol pražských,1901-1948
34,5,71,Beneš Edvard,Sociologická knihovna MSS,1901-1948
35,6,5,Bláha Inocenc Arnošt,Československá akademie zemědělská,1901-1948
36,6,5,Bláha Inocenc Arnošt,Československá akademie zemědělská,1949-1989
37,6,14,Bláha Inocenc Arnošt,Slezský ústav v Praze,1901-1948
38,6,14,Bláha Inocenc Arnošt,Slezský ústav v Praze,1949-1989
39,6,34,Bláha Inocenc Arnošt,Česká technická vysoká škola v Brně,1901-1948
40,6,41,Bláha Inocenc Arnošt,Masarykova univerzita v Brně,1901-1948
41,6,41,Bláha Inocenc Arnošt,Masarykova univerzita v Brně,1949-1989
42,6,58,Bláha Inocenc Arnošt,Vysoká škola sociální v Brně,1901-1948
43,6,58,Bláha Inocenc Arnošt,Vysoká škola sociální v Brně,1949-1989
44,6,65,Bláha Inocenc Arnošt,Masarykova sociologická společnost,1901-1948
45,6,65,Bláha Inocenc Arnošt,Masarykova sociologická společnost,1949-1989
46,6,71,Bláha Inocenc Arnošt,Sociologická knihovna MSS,1901-1948
47,7,18,Blažek Bohuslav,Sportpropag,1949-1989
48,8,5,Boháč Antonín,Československá akademie zemědělská,1901-1948
49,8,5,Boháč Antonín,Československá akademie zemědělská,1949-1989
50,8,19,Boháč Antonín,Státní úřad statistický,1901-1948
51,8,19,Boháč Antonín,Státní úřad statistický,1949-1989
52,8,36,Boháč Antonín,České vysoké učení technické v Praze,1901-1948
53,8,36,Boháč Antonín,České vysoké učení technické v Praze,1949-1989
54,8,39,Boháč Antonín,Karlova univerzita v Praze,1800-1900
55,8,39,Boháč Antonín,Karlova univerzita v Praze,1901-1948
56,8,39,Boháč Antonín,Karlova univerzita v Praze,1949-1989
57,8,56,Boháč Antonín,Vysoká škola politická a sociální v Praze,1901-1948
58,8,56,Boháč Antonín,Vysoká škola politická a sociální v Praze,1949-1989
59,8,68,Boháč Antonín,Společnost pro sociální bádání,1901-1948
60,8,68,Boháč Antonín,Společnost pro sociální bádání,1949-1989
61,8,70,Boháč Antonín,Knihovna Sociálních problémů,1901-1948
62,10,15,Brokl Lubomír,Sociologický ústav AV ČR,1990-2030
63,10,16,Brokl Lubomír,Sociologický ústav ČSAV,1949-1989
64,10,26,Brokl Lubomír,Ústav sociálně politických věd UK,1949-1989
65,10,31,Brokl Lubomír,Výzkumný ústav strojírenské technologie a ekonomiky,1949-1989
66,10,31,Brokl Lubomír,Výzkumný ústav strojírenské technologie a ekonomiky,1990-2030
67,10,49,Brokl Lubomír,Univerzita Hradec Králové,1990-2030
68,15,5,Čep Tomáš,Československá akademie zemědělská,1901-1948
69,15,5,Čep Tomáš,Československá akademie zemědělská,1949-1989
70,15,14,Čep Tomáš,Slezský ústav v Praze,1901-1948
71,15,14,Čep Tomáš,Slezský ústav v Praze,1949-1989
72,15,42,Čep Tomáš,Mendelova univerzita v Brně,1901-1948
73,15,42,Čep Tomáš,Mendelova univerzita v Brně,1949-1989
74,15,65,Čep Tomáš,Masarykova sociologická společnost,1901-1948
75,15,65,Čep Tomáš,Masarykova sociologická společnost,1949-1989
76,17,26,Disman Miroslav,Ústav sociálně politických věd UK,1949-1989
77,17,39,Disman Miroslav,Karlova univerzita v Praze,1901-1948
78,17,39,Disman Miroslav,Karlova univerzita v Praze,1949-1989
79,17,39,Disman Miroslav,Karlova univerzita v Praze,1990-2030
80,17,64,Disman Miroslav,Československá sociologická společnost při ČSAV,1949-1989
81,17,64,Disman Miroslav,Československá sociologická společnost při ČSAV,1990-2030
82,17,72,Disman Miroslav,Sociologická knižnice nakladatelství Svoboda,1949-1989
83,18,16,Dubská Irena,Sociologický ústav ČSAV,1949-1989
84,18,64,Dubská Irena,Československá sociologická společnost při ČSAV,1949-1989
85,18,64,Dubská Irena,Československá sociologická společnost při ČSAV,1990-2030
86,21,19,Fajfr František,Státní úřad statistický,1901-1948
87,21,19,Fajfr František,Státní úřad statistický,1949-1989
88,21,39,Fajfr František,Karlova univerzita v Praze,1800-1900
89,21,39,Fajfr František,Karlova univerzita v Praze,1901-1948
90,21,39,Fajfr František,Karlova univerzita v Praze,1949-1989
91,21,62,Fajfr František,Česká demografická společnost,1949-1989
92,21,65,Fajfr František,Masarykova sociologická společnost,1901-1948
93,21,65,Fajfr František,Masarykova sociologická společnost,1949-1989
94,21,71,Fajfr František,Sociologická knihovna MSS,1901-1948
95,22,15,Filipcová Blanka,Sociologický ústav AV ČR,1990-2030
96,22,16,Filipcová Blanka,Sociologický ústav ČSAV,1949-1989
97,22,22,Filipcová Blanka,Ústav pro filosofii a sociologii ČSAV,1949-1989
98,22,22,Filipcová Blanka,Ústav pro filosofii a sociologii ČSAV,1990-2030
99,22,26,Filipcová Blanka,Ústav sociálně politických věd UK,1949-1989
100,22,39,Filipcová Blanka,Karlova univerzita v Praze,1901-1948
101,22,39,Filipcová Blanka,Karlova univerzita v Praze,1949-1989
102,22,39,Filipcová Blanka,Karlova univerzita v Praze,1990-2030
103,22,56,Filipcová Blanka,Vysoká škola politická a sociální v Praze,1901-1948
104,22,56,Filipcová Blanka,Vysoká škola politická a sociální v Praze,1949-1989
105,22,64,Filipcová Blanka,Československá sociologická společnost při ČSAV,1949-1989
106,22,64,Filipcová Blanka,Československá sociologická společnost při ČSAV,1990-2030
107,22,72,Filipcová Blanka,Sociologická knižnice nakladatelství Svoboda,1949-1989
108,23,22,Filipec Jindřich,Ústav pro filosofii a sociologii ČSAV,1949-1989
109,23,22,Filipec Jindřich,Ústav pro filosofii a sociologii ČSAV,1990-2030
110,23,39,Filipec Jindřich,Karlova univerzita v Praze,1901-1948
111,23,39,Filipec Jindřich,Karlova univerzita v Praze,1949-1989
112,23,39,Filipec Jindřich,Karlova univerzita v Praze,1990-2030
113,23,64,Filipec Jindřich,Československá sociologická společnost při ČSAV,1949-1989
114,23,64,Filipec Jindřich,Československá sociologická společnost při ČSAV,1990-2030
115,23,72,Filipec Jindřich,Sociologická knižnice nakladatelství Svoboda,1949-1989
116,24,41,Fischer Josef Ludvík,Masarykova univerzita v Brně,1901-1948
117,24,41,Fischer Josef Ludvík,Masarykova univerzita v Brně,1949-1989
118,24,45,Fischer Josef Ludvík,Palackého univerzita v Olomouci,1901-1948
119,24,45,Fischer Josef Ludvík,Palackého univerzita v Olomouci,1949-1989
120,24,64,Fischer Josef Ludvík,Československá sociologická společnost při ČSAV,1949-1989
121,24,65,Fischer Josef Ludvík,Masarykova sociologická společnost,1901-1948
122,24,65,Fischer Josef Ludvík,Masarykova sociologická společnost,1949-1989
123,24,71,Fischer Josef Ludvík,Sociologická knihovna MSS,1901-1948
124,25,42,Foret Miroslav,Mendelova univerzita v Brně,1901-1948
