ID,SociologoveID1,InstituceID2,Sociologove,Instituce
1,1,7,Adamec Čeněk,Československý ústav pro výzkum veřejného mínění
2,1,24,Adamec Čeněk,Ústav pro výzkum veřejného mínění ČSAV
3,1,25,Adamec Čeněk,Ústav pro výzkum veřejného mínění FSÚ
4,1,36,Adamec Čeněk,České vysoké učení technické v Praze
5,1,64,Adamec Čeněk,Československá sociologická společnost při ČSAV
6,1,67,Adamec Čeněk,Sociologický kruh posluchačů vysokých škol pražských
7,1,72,Adamec Čeněk,Sociologická knižnice nakladatelství Svoboda
8,2,18,Alan Josef,Sportpropag
9,2,26,Alan Josef,Ústav sociálně politických věd UK
10,2,30,Alan Josef,Výzkumný ústav sociálního rozvoje a práce
11,2,39,Alan Josef,Karlova univerzita v Praze
12,2,72,Alan Josef,Sociologická knižnice nakladatelství Svoboda
13,2,73,Alan Josef,Sociologické nakladatelství (SLON)
14,3,39,Árnason Johann Pál,Karlova univerzita v Praze
15,4,6,Auerhan Jan,Československý ústav zahraniční
16,4,19,Auerhan Jan,Státní úřad statistický
17,5,20,Beneš Edvard,Sociální ústav ČSR
18,5,36,Beneš Edvard,České vysoké učení technické v Praze
19,5,39,Beneš Edvard,Karlova univerzita v Praze
20,5,65,Beneš Edvard,Masarykova sociologická společnost
21,5,67,Beneš Edvard,Sociologický kruh posluchačů vysokých škol pražských
22,5,71,Beneš Edvard,Sociologická knihovna MSS
23,6,5,Bláha Inocenc Arnošt,Československá akademie zemědělská
24,6,14,Bláha Inocenc Arnošt,Slezský ústav v Praze
25,6,34,Bláha Inocenc Arnošt,Česká technická vysoká škola v Brně
26,6,41,Bláha Inocenc Arnošt,Masarykova univerzita v Brně
27,6,58,Bláha Inocenc Arnošt,Vysoká škola sociální v Brně
28,6,65,Bláha Inocenc Arnošt,Masarykova sociologická společnost
29,6,71,Bláha Inocenc Arnošt,Sociologická knihovna MSS
30,7,18,Blažek Bohuslav,Sportpropag
31,8,5,Boháč Antonín,Československá akademie zemědělská
32,8,19,Boháč Antonín,Státní úřad statistický
33,8,36,Boháč Antonín,České vysoké učení technické v Praze
34,8,39,Boháč Antonín,Karlova univerzita v Praze
35,8,56,Boháč Antonín,Vysoká škola politická a sociální v Praze
36,8,68,Boháč Antonín,Společnost pro sociální bádání
37,8,70,Boháč Antonín,Knihovna Sociálních problémů
38,10,15,Brokl Lubomír,Sociologický ústav AV ČR
39,10,16,Brokl Lubomír,Sociologický ústav ČSAV
40,10,26,Brokl Lubomír,Ústav sociálně politických věd UK
41,10,31,Brokl Lubomír,Výzkumný ústav strojírenské technologie a ekonomiky
42,10,49,Brokl Lubomír,Univerzita Hradec Králové
43,15,5,Čep Tomáš,Československá akademie zemědělská
44,15,14,Čep Tomáš,Slezský ústav v Praze
45,15,42,Čep Tomáš,Mendelova univerzita v Brně
46,15,65,Čep Tomáš,Masarykova sociologická společnost
47,16,39,Dědek František,Karlova univerzita v Praze
48,16,67,Dědek František,Sociologický kruh posluchačů vysokých škol pražských
49,16,68,Dědek František,Společnost pro sociální bádání
50,17,26,Disman Miroslav,Ústav sociálně politických věd UK
51,17,39,Disman Miroslav,Karlova univerzita v Praze
52,17,64,Disman Miroslav,Československá sociologická společnost při ČSAV
53,17,72,Disman Miroslav,Sociologická knižnice nakladatelství Svoboda
54,18,16,Dubská Irena,Sociologický ústav ČSAV
55,18,64,Dubská Irena,Československá sociologická společnost při ČSAV
56,21,19,Fajfr František,Státní úřad statistický
57,21,39,Fajfr František,Karlova univerzita v Praze
58,21,62,Fajfr František,Česká demografická společnost
59,21,65,Fajfr František,Masarykova sociologická společnost
60,21,71,Fajfr František,Sociologická knihovna MSS
61,22,15,Filipcová Blanka,Sociologický ústav AV ČR
62,22,16,Filipcová Blanka,Sociologický ústav ČSAV
63,22,22,Filipcová Blanka,Ústav pro filosofii a sociologii ČSAV
64,22,26,Filipcová Blanka,Ústav sociálně politických věd UK
