id,id1,id2,name1,name2,atr
1,2,7,1901-1948,Československý ústav pro výzkum veřejného mínění,1++Adamec Čeněk
2,3,7,1949-1989,Československý ústav pro výzkum veřejného mínění,1++Adamec Čeněk
3,3,24,1949-1989,Ústav pro výzkum veřejného mínění ČSAV,1++Adamec Čeněk
4,3,25,1949-1989,Ústav pro výzkum veřejného mínění FSÚ,1++Adamec Čeněk
5,4,25,1990-2030,Ústav pro výzkum veřejného mínění FSÚ,1++Adamec Čeněk
6,2,36,1901-1948,České vysoké učení technické v Praze,1++Adamec Čeněk
7,3,36,1949-1989,České vysoké učení technické v Praze,1++Adamec Čeněk
8,4,36,1990-2030,České vysoké učení technické v Praze,1++Adamec Čeněk
9,3,64,1949-1989,Československá sociologická společnost při ČSAV,1++Adamec Čeněk
10,4,64,1990-2030,Československá sociologická společnost při ČSAV,1++Adamec Čeněk
11,2,67,1901-1948,Sociologický kruh posluchačů vysokých škol pražských,1++Adamec Čeněk
12,3,67,1949-1989,Sociologický kruh posluchačů vysokých škol pražských,1++Adamec Čeněk
13,3,72,1949-1989,Sociologická knižnice nakladatelství Svoboda,1++Adamec Čeněk
14,3,18,1949-1989,Sportpropag,2++Alan Josef
15,3,26,1949-1989,Ústav sociálně politických věd UK,2++Alan Josef
16,3,30,1949-1989,Výzkumný ústav sociálního rozvoje a práce,2++Alan Josef
17,4,30,1990-2030,Výzkumný ústav sociálního rozvoje a práce,2++Alan Josef
18,2,39,1901-1948,Karlova univerzita v Praze,2++Alan Josef
19,3,39,1949-1989,Karlova univerzita v Praze,2++Alan Josef
20,4,39,1990-2030,Karlova univerzita v Praze,2++Alan Josef
21,3,72,1949-1989,Sociologická knižnice nakladatelství Svoboda,2++Alan Josef
22,4,73,1990-2030,Sociologické nakladatelství (SLON),2++Alan Josef
23,2,39,1901-1948,Karlova univerzita v Praze,3++Árnason Johann Pál
24,3,39,1949-1989,Karlova univerzita v Praze,3++Árnason Johann Pál
25,4,39,1990-2030,Karlova univerzita v Praze,3++Árnason Johann Pál
