ID,ID1,ID2,NAME1,NAME2,ATR
1,1,4,1800-1900,Auerhan Jan,14++Naše doba
1,1,14,1800-1900,Naše doba,4++Auerhan Jan
2,1,5,1800-1900,Beneš Edvard,5++Česká mysl
2,1,5,1800-1900,Česká mysl,5++Beneš Edvard
3,1,5,1800-1900,Beneš Edvard,14++Naše doba
3,1,14,1800-1900,Naše doba,5++Beneš Edvard
4,1,6,1800-1900,Bláha Inocenc Arnošt,5++Česká mysl
4,1,5,1800-1900,Česká mysl,6++Bláha Inocenc Arnošt
5,1,6,1800-1900,Bláha Inocenc Arnošt,14++Naše doba
5,1,14,1800-1900,Naše doba,6++Bláha Inocenc Arnošt
6,1,8,1800-1900,Boháč Antonín,14++Naše doba
6,1,14,1800-1900,Naše doba,8++Boháč Antonín
7,1,21,1800-1900,Fajfr František,5++Česká mysl
7,1,5,1800-1900,Česká mysl,21++Fajfr František
8,1,24,1800-1900,Fischer Josef Ludvík,5++Česká mysl
8,1,5,1800-1900,Česká mysl,24++Fischer Josef Ludvík
9,1,27,1800-1900,Foustka Břetislav,5++Česká mysl
9,1,5,1800-1900,Česká mysl,27++Foustka Břetislav
10,1,27,1800-1900,Foustka Břetislav,14++Naše doba
10,1,14,1800-1900,Naše doba,27++Foustka Břetislav
11,1,56,1800-1900,Kaizl Josef,2++Athenaeum
11,1,2,1800-1900,Athenaeum,56++Kaizl Josef
12,1,56,1800-1900,Kaizl Josef,14++Naše doba
12,1,14,1800-1900,Naše doba,56++Kaizl Josef
13,1,70,1800-1900,Kozák Jan Blahoslav,5++Česká mysl
13,1,5,1800-1900,Česká mysl,70++Kozák Jan Blahoslav
14,1,72,1800-1900,Král Josef,5++Česká mysl
14,1,5,1800-1900,Česká mysl,72++Král Josef
15,1,73,1800-1900,Krejčí František,5++Česká mysl
15,1,5,1800-1900,Česká mysl,73++Krejčí František
16,1,82,1800-1900,Macek Josef,14++Naše doba
16,1,14,1800-1900,Naše doba,82++Macek Josef
17,1,91,1800-1900,Masaryk Tomáš Garrigue,2++Athenaeum
17,1,2,1800-1900,Athenaeum,91++Masaryk Tomáš Garrigue
18,1,91,1800-1900,Masaryk Tomáš Garrigue,5++Česká mysl
18,1,5,1800-1900,Česká mysl,91++Masaryk Tomáš Garrigue
19,1,91,1800-1900,Masaryk Tomáš Garrigue,14++Naše doba
19,1,14,1800-1900,Naše doba,91++Masaryk Tomáš Garrigue
20,1,96,1800-1900,Modráček František,14++Naše doba
20,1,14,1800-1900,Naše doba,96++Modráček František
21,1,115,1800-1900,Rádl Emanuel,5++Česká mysl
21,1,5,1800-1900,Česká mysl,115++Rádl Emanuel
22,1,115,1800-1900,Rádl Emanuel,14++Naše doba
22,1,14,1800-1900,Naše doba,115++Rádl Emanuel
23,1,127,1800-1900,Schoenbaum Emil,14++Naše doba
23,1,14,1800-1900,Naše doba,127++Schoenbaum Emil
24,1,145,1800-1900,Škrach Vasil Kaprálek,5++Česká mysl
24,1,5,1800-1900,Česká mysl,145++Škrach Vasil Kaprálek
25,1,151,1800-1900,Štern Evžen,14++Naše doba
25,1,14,1800-1900,Naše doba,151++Štern Evžen
26,1,159,1800-1900,Uhlíř Antonín,14++Naše doba
26,1,14,1800-1900,Naše doba,159++Uhlíř Antonín
27,1,19,1800-1900,Durdík Josef,2++Athenaeum
27,1,2,1800-1900,Athenaeum,19++Durdík Josef
28,1,26,1800-1900,Fořt Josef,2++Athenaeum
28,1,2,1800-1900,Athenaeum,26++Fořt Josef
29,1,69,1800-1900,Korčák Jaromír,5++Česká mysl
29,1,5,1800-1900,Česká mysl,69++Korčák Jaromír
30,1,159,1800-1900,Uhlíř Antonín,5++Česká mysl
30,1,5,1800-1900,Česká mysl,159++Uhlíř Antonín
31,1,177,1800-1900,Žalud Augustin,14++Naše doba
31,1,14,1800-1900,Naše doba,177++Žalud Augustin
32,1,5,1800-1900,Beneš Edvard,39++Karlova univerzita v Praze
32,1,39,1800-1900,Karlova univerzita v Praze,5++Beneš Edvard
33,1,8,1800-1900,Boháč Antonín,39++Karlova univerzita v Praze
33,1,39,1800-1900,Karlova univerzita v Praze,8++Boháč Antonín
34,1,21,1800-1900,Fajfr František,39++Karlova univerzita v Praze
34,1,39,1800-1900,Karlova univerzita v Praze,21++Fajfr František
35,1,27,1800-1900,Foustka Břetislav,39++Karlova univerzita v Praze
35,1,39,1800-1900,Karlova univerzita v Praze,27++Foustka Břetislav
36,1,69,1800-1900,Korčák Jaromír,39++Karlova univerzita v Praze
36,1,39,1800-1900,Karlova univerzita v Praze,69++Korčák Jaromír
37,1,72,1800-1900,Král Josef,1++Česká akademie věd a umění
37,1,1,1800-1900,Česká akademie věd a umění,72++Král Josef
38,1,72,1800-1900,Král Josef,39++Karlova univerzita v Praze
38,1,39,1800-1900,Karlova univerzita v Praze,72++Král Josef
39,1,85,1800-1900,Machotka Otakar,39++Karlova univerzita v Praze
39,1,39,1800-1900,Karlova univerzita v Praze,85++Machotka Otakar
40,1,91,1800-1900,Masaryk Tomáš Garrigue,39++Karlova univerzita v Praze
40,1,39,1800-1900,Karlova univerzita v Praze,91++Masaryk Tomáš Garrigue
41,1,101,1800-1900,Neuschl Robert,33++Biskupské semináře
41,1,33,1800-1900,Biskupské semináře,101++Neuschl Robert
42,1,118,1800-1900,Reyl František,33++Biskupské semináře
42,1,33,1800-1900,Biskupské semináře,118++Reyl František
43,1,133,1800-1900,Soldát Alois,33++Biskupské semináře
43,1,33,1800-1900,Biskupské semináře,133++Soldát Alois
44,1,148,1800-1900,Šrámek Jan,33++Biskupské semináře
44,1,33,1800-1900,Biskupské semináře,148++Šrámek Jan
45,1,165,1800-1900,Vašek Bedřich,33++Biskupské semináře
45,1,33,1800-1900,Biskupské semináře,165++Vašek Bedřich
46,1,19,1800-1900,Durdík Josef,1++Česká akademie věd a umění
46,1,1,1800-1900,Česká akademie věd a umění,19++Durdík Josef
47,1,85,1800-1900,Machotka Otakar,1++Česká akademie věd a umění
47,1,1,1800-1900,Česká akademie věd a umění,85++Machotka Otakar
48,1,6,1800-1900,Bláha Inocenc Arnošt,33++Biskupské semináře
48,1,33,1800-1900,Biskupské semináře,6++Bláha Inocenc Arnošt
49,1,113,1800-1900,Procházka Matěj,33++Biskupské semináře
