"v1","v2"
"1","176"
"1","139"
"1","76"
"1","134"
"1","110"
"1","163"
"1","136"
"1","171"
"1","13"
"1","14"
"1","36"
"1","116"
"1","62"
"1","65"
"1","17"
"1","106"
"1","170"
"1","120"
"1","54"
"1","119"
"1","42"
"1","154"
"1","34"
"1","78"
"1","94"
"1","146"
"1","97"
"1","50"
"1","21"
"1","152"
"1","85"
"1","25"
"1","77"
"1","164"
"1","175"
"1","92"
"1","11"
"1","132"
"1","72"
"1","124"
"1","167"
"1","38"
"1","125"
"1","118"
"1","24"
"1","88"
"1","121"
"1","145"
"1","39"
"1","177"
"1","73"
"1","26"
"1","57"
"1","53"
"1","156"
"1","150"
"1","32"
"1","67"
"1","66"
"1","126"
"1","60"
"1","89"
"1","135"
"1","138"
"1","75"
"1","37"
"1","59"
"1","20"
"1","178"
"1","112"
"1","165"
"1","168"
"1","99"
"1","49"
"1","115"
"1","23"
"1","148"
"1","104"
"1","172"
"1","161"
"1","74"
"1","157"
"1","103"
"1","105"
"1","6"
"1","173"
"1","166"
"1","123"
"1","43"
"1","140"
"1","117"
"1","8"
"1","63"
"1","48"
"1","144"
"1","31"
"1","114"
"1","141"
"1","143"
"1","100"
"1","3"
"1","147"
"1","40"
"1","58"
"1","174"
"1","169"
"1","109"
"1","29"
"1","107"
"1","96"
"1","41"
"1","46"
"1","82"
"1","55"
"1","122"
"1","15"
"1","153"
"1","130"
"1","35"
"1","61"
"1","69"
"1","159"
"1","102"
"1","83"
"1","30"
"1","22"
"1","51"
"1","7"
"1","142"
"1","86"
"1","71"
"1","45"
"1","79"
"1","133"
"1","151"
"1","155"
"1","18"
"1","5"
"1","137"
"1","2"
"1","91"
"1","160"
"1","44"
"1","95"
"1","12"
"1","70"
"1","111"
"1","128"
"1","68"
"1","127"
"1","84"
"1","98"
"1","33"
"1","27"
"1","81"
"1","47"
"1","4"
"1","162"
"1","28"
"1","52"
"1","10"
"1","93"
"1","149"
"1","108"
"2","124"
"2","144"
"2","5"
"2","42"
"2","53"
"2","151"
"2","76"
"2","77"
"2","145"
"2","69"
"2","71"
"2","21"
"2","29"
"2","176"
"2","34"
"2","7"
"2","141"
"2","143"
"2","78"
"2","175"
"2","89"
"2","153"
"2","148"
"2","114"
"2","170"
"2","6"
"2","3"
"2","155"
"2","13"
"2","156"
